X-Lamb;Y-Lamb;Hauteur (m);Epaisseur (m);Densite (%);Leaf wall area (m².ha-1);Pourcentage de la dose homologuée à appliquer;Pourcentage du taux de recuperation
766323.08;6284565.02;1.14;0.49;91;9120;178.2;12.8
766323.05;6284562.66;1.11;0.69;88;8880;176.3;15.2
766323.2;6284559.18;1.21;0.44;67;9680;138.9;32
766323.23;6284556.84;1.08;0.68;91;8640;176.8;12.8
766323.28;6284553.98;1.14;0.52;76;9120;148.3;24.8
766323.32;6284550.62;1.11;0.68;74;8880;146.8;26.4
766323.38;6284548.15;1.24;0.71;91;9920;211.4;12.8
766323.44;6284545.4;1.08;0.77;94;8640;188.8;10.4
766323.5;6284542.67;1.21;0.62;89;9680;194.5;14.4
766323.6;6284539.17;1.1;0.43;86;8800;157.3;16.8
766323.67;6284536.8;1.29;0.58;91;10320;214.5;12.8
766323.72;6284534.02;1.17;0.67;69;9360;146.2;30.4
766322.45;6284531.05;1.15;0.48;84;9200;164.1;18.4
766319.01;6284532.13;1.02;0.59;91;8160;161.6;12.8
766318.93;6284534.96;1.09;0.37;92;8720;165.3;12
766318.84;6284537.88;1.14;0.37;83;9120;155.2;19.2
766318.75;6284540.65;1.08;0.56;89;8640;166.5;14.4
766318.67;6284543.05;1.22;0.47;79;9760;165.3;22.4
766318.66;6284546.2;1.24;0.42;93;9920;199.1;11.2
766318.57;6284548.79;1.04;0.34;94;8320;159.4;10.4
766318.53;6284551.22;1.27;0.41;81;10160;175.8;20.8
766318.48;6284554.78;1.08;0.53;88;8640;162.8;15.2
766318.46;6284557.26;1.32;0.49;85;10560;199.8;17.6
766318.42;6284559.89;1.32;0.53;87;10560;207.3;16
766318.34;6284562.76;1.16;0.48;94;9280;188.5;10.4
766318.29;6284565.09;1.19;0.59;75;9520;157.7;25.6
766318.2;6284568.35;1.02;0.54;82;8160;141.8;20
766318.15;6284570.96;1.02;0.48;95;8160;164.6;9.6
766318.04;6284573.86;1.04;0.59;91;8320;165.1;12.8
766318.03;6284576.43;1.04;0.41;87;8320;148.7;16
766317.99;6284579.25;1.08;0.46;90;8640;163.7;13.6
766317.89;6284582;1.19;0.37;74;9520;145.9;26.4
766317.83;6284584.9;1.2;0.46;87;9600;178.7;16
766317.72;6284586.98;1.28;0.39;82;10240;178.7;20
766317.68;6284591.18;1.14;0.68;69;9120;142.1;30.4
766317.63;6284593.27;1.01;0.57;95;8080;167.4;9.6
766317.52;6284596.02;1.33;0.5;94;10640;227;10.4
766317.47;6284598.85;1.16;0.58;90;9280;184.7;13.6
766317.44;6284601.6;1.13;0.37;95;9040;179.3;9.6
766317.34;6284604.5;1.09;0.52;90;8720;168.4;13.6
766317.19;6284607.36;1.07;0.47;92;8560;166.5;12
766317.06;6284610.1;1.14;0.58;80;9120;159;21.6
766316.93;6284614.01;1.17;0.26;42;9360;91.7;52
766316.84;6284616.03;1.02;0.59;87;8160;153.6;16
766316.7;6284618.74;1.11;0.45;87;8880;162.1;16
766316.58;6284621.43;1.02;0.47;89;8160;152;14.4
766316.41;6284624.6;1.04;0.51;93;8320;165.3;11.2
766316.3;6284627.4;1.14;0.42;81;9120;153.6;20.8
766316.3;6284630.3;1.07;0.62;93;8560;176.3;11.2
766316.27;6284633.07;1.05;0.56;90;8400;163.2;13.6
766316.12;6284636.14;1.09;0.44;91;8720;166.5;12.8
766316.11;6284638.83;1.11;0.32;96;8880;175;8.8
766316.02;6284640.97;1.19;0.54;86;9520;178.7;16.8
766315.96;6284643.46;1.08;0.31;97;8640;171.4;8
766315.86;6284646.51;0.08;0.03;97;640;85.2;8
766315.33;6284650.27;0.81;0.13;97;6480;131.3;8
766314.26;6284651.63;0.9;0.51;89;7200;135.8;14.4
766311.59;6284650.9;0.84;0.78;88;6720;141.6;15.2
766311.03;6284641.18;0.84;0.59;40;6720;70.1;53.6
766311.09;6284637.58;1.25;0.42;80;10000;170.4;21.6
766311.14;6284635.24;1.08;0.48;96;8640;177.6;8.8
766311.27;6284632.37;1.11;0.62;94;8880;186.4;10.4
766311.22;6284629.63;1.07;0.54;89;8560;163.7;14.4
766311.24;6284626.59;1.39;0.54;94;11120;245.2;10.4
766311.38;6284623.69;1.29;0.41;73;10320;162.1;27.2
766311.53;6284620.65;1.09;0.42;84;8720;151.4;18.4
766311.62;6284617.81;1.18;0.42;94;9440;189.1;10.4
766311.68;6284614.84;1.06;0.41;91;8480;159.9;12.8
766311.75;6284611.83;1.11;0.62;93;8880;184.1;11.2
766311.83;6284609.08;1.17;0.47;89;9360;178.2;14.4
766311.93;6284606.06;1.14;0.54;94;9120;187.9;10.4
766311.97;6284603.42;1.31;0.42;84;10480;191;18.4
766312;6284600.27;1.28;0.55;89;10240;205.1;14.4
766312.1;6284597.55;1.21;0.51;92;9680;195.5;12
766312.16;6284594.54;1.15;0.55;94;9200;190.4;10.4
766312.2;6284591.63;1.2;0.53;94;9600;199.8;10.4
766312.34;6284588.89;1.07;0.53;93;8560;171.9;11.2
766312.38;6284585.86;1.09;0.61;96;8720;186.7;8.8
766312.52;6284582.87;1.25;0.48;86;10000;187.3;16.8
766312.51;6284579.98;1.16;0.55;94;9280;192.6;10.4
766312.62;6284577.32;1.06;0.58;91;8480;168.2;12.8
766312.69;6284574.48;1.09;0.58;92;8720;175.8;12
766312.76;6284571.68;1.14;0.63;50;9120;109.8;45.6
766312.82;6284568.73;1.17;0.66;90;9360;191;13.6
766312.92;6284565.64;1.12;0.58;95;8960;188.5;9.6
766312.99;6284563.12;1.13;0.52;88;9040;171.1;15.2
766313.12;6284559.65;1.26;0.52;88;10080;196.5;15.2
766313.19;6284557.28;1.26;0.62;90;10080;207.7;13.6
766313.33;6284553.96;1.18;0.53;82;9440;167.7;20
766313.32;6284551.39;1.07;0.48;91;8560;165.1;12.8
766313.4;6284548.69;1.26;0.46;91;10080;200.5;12.8
766313.46;6284545.82;1.24;0.44;94;9920;203;10.4
766313.52;6284543.16;1.08;0.57;94;8640;177.9;10.4
766313.59;6284540.5;1.23;0.54;83;9840;179.5;19.2
766313.74;6284536.86;1.25;0.51;70;10000;154;29.6
766313.81;6284534.56;1.39;0.57;91;11120;237.7;12.8
766313.88;6284531.86;1.11;0.65;88;8880;174.2;15.2
766309.09;6284531.8;1.13;0.53;84;9040;163;18.4
766309.03;6284533.44;1.14;0.67;84;9120;171.9;18.4
766309.02;6284537.23;1.06;0.5;83;8480;148.1;19.2
766308.94;6284539.63;1.08;0.52;89;8640;164.4;14.4
766308.84;6284543.53;1.19;0.63;66;9520;142.1;32.8
766308.85;6284545.39;1.07;0.51;90;8560;164.4;13.6
766308.79;6284548.22;1.1;0.57;84;8800;159.9;18.4
766308.68;6284551.56;1.14;0.53;90;9120;177.9;13.6
766308.58;6284554.6;1.13;0.55;93;9040;184.1;11.2
766308.49;6284557.39;1.16;0.57;93;9280;191.3;11.2
766308.47;6284560.68;1.39;0.48;80;11120;201.2;21.6
766308.41;6284563.26;0.98;0.54;93;7840;156.6;11.2
766308.32;6284565.74;1.19;0.58;59;9520;128;38.4
766308.23;6284569.14;1.1;0.57;85;8800;161.9;17.6
766308.12;6284571.96;1.07;0.55;95;8560;177.4;9.6
766308.03;6284574.91;1.02;0.38;96;8160;161.9;8.8
766307.95;6284577.65;1.18;0.54;82;9440;168.2;20
766307.95;6284580.72;1.02;0.51;88;8160;152;15.2
766307.84;6284583.17;1.15;0.51;80;9200;157.3;21.6
766307.78;6284586.41;1.29;0.45;73;10320;163.9;27.2
766307.69;6284589.59;1.13;0.43;78;9040;146.6;23.2
766307.71;6284592.28;1.1;0.55;94;8800;180.7;10.4
766307.62;6284595.34;1.22;0.56;89;9760;192.9;14.4
766307.55;6284598.26;1.17;0.61;96;9360;203.3;8.8
766307.46;6284601.11;1.12;0.62;88;8960;174.4;15.2
766307.33;6284604.45;0.99;0.39;85;7920;136.7;17.6
766307.19;6284607.13;1.13;0.49;92;9040;178.7;12
766307.05;6284610.19;1.27;0.46;66;10160;147.2;32.8
766307.01;6284612.84;1.13;0.45;94;9040;181.2;10.4
766306.97;6284615.64;1.09;0.6;96;8720;186.1;8.8
766306.9;6284618.4;1.25;0.47;95;10000;209.5;9.6
766306.82;6284621.59;1.1;0.52;93;8800;176.8;11.2
766306.81;6284624.29;1.17;0.47;90;9360;180.7;13.6
766306.78;6284627.46;1.2;0.53;91;9600;192.3;12.8
766306.71;6284630.21;1.18;0.45;94;9440;191;10.4
766306.61;6284633.19;1.15;0.43;90;9200;174.7;13.6
766306.59;6284636.07;1.39;0.46;94;11120;239.1;10.4
766306.49;6284638.59;1.22;0.55;85;9760;182.9;17.6
766306.38;6284641.14;0.94;0.56;82;7520;131.1;20
766300.92;6284640.22;1.3;0.66;88;10400;213.7;15.2
766301.27;6284638.06;1.22;0.41;94;9760;196.8;10.4
766301.39;6284635.26;1.23;0.45;89;9840;188.8;14.4
766301.47;6284632.3;1.13;0.48;93;9040;180.4;11.2
766301.56;6284629.41;1.13;0.45;95;9040;183.5;9.6
766301.64;6284626.38;1.14;0.61;72;9120;144.6;28
766301.66;6284623.74;1.09;0.53;93;8720;175.5;11.2
766301.77;6284620.88;1.14;0.55;90;9120;179;13.6
766301.77;6284617.96;1.19;0.47;90;9520;184.4;13.6
766301.88;6284615.2;1.22;0.46;77;9760;160.7;24
766301.96;6284612.25;1.29;0.41;88;10320;196.5;15.2
766302.02;6284609.41;1.23;0.42;84;9840;175.5;18.4
766302.06;6284606.79;0.98;0.45;65;7840;106.5;33.6
766302.15;6284603.66;1.24;0.66;92;9920;211;12
766302.2;6284600.83;1.17;0.55;93;9360;192.3;11.2
766302.22;6284598.23;1.23;0.51;87;9840;187.3;16
766302.25;6284595;1.2;0.42;78;9600;157.5;23.2
766302.35;6284592.25;1.13;0.51;94;9040;184.4;10.4
766302.41;6284589.43;1.16;0.57;81;9280;163.9;20.8
766302.5;6284586.46;1.21;0.46;86;9680;178.4;16.8
766302.62;6284583.45;1.2;0.45;86;9600;176;16.8
766302.68;6284580.78;1.17;0.54;88;9360;179.5;15.2
766302.76;6284577.68;1.07;0.73;87;8560;168.6;16
766302.87;6284575.13;1.09;0.55;93;8720;176.6;11.2
766302.9;6284572.42;1.11;0.49;90;8880;170.4;13.6
766302.99;6284569.48;0.94;0.46;64;7520;101;34.4
766303;6284566.31;1.1;0.57;92;8800;177.1;12
766303.08;6284563.82;1.3;0.44;87;10400;197.8;16
766303.14;6284560.69;1.28;0.41;84;10240;184.7;18.4
766303.26;6284558;1.14;0.52;93;9120;184.4;11.2
766303.36;6284555.27;1.11;0.59;89;8880;173.4;14.4
766303.42;6284552.18;1.24;0.59;90;9920;201.6;13.6
766303.46;6284549.74;1.13;0.69;88;9040;180.1;15.2
766303.56;6284546.65;1.12;0.65;81;8960;161;20.8
766303.65;6284543.49;1.05;0.58;87;8400;157.9;16
766303.74;6284541.15;1.13;0.48;77;9040;147;24
766303.8;6284538.3;1.23;0.49;81;9840;172.4;20.8
766303.84;6284535.9;1.2;0.4;82;9600;164.8;20
766303.92;6284532.54;1.16;0.52;89;9280;179;14.4
766302.37;6284530.97;1.24;0.5;68;9920;147.9;31.2
766299.07;6284532.79;1.05;0.49;93;8400;166.2;11.2
766299.1;6284535.08;1.06;0.37;86;8480;148.1;16.8
766299;6284538.47;1.05;0.55;77;8400;137.8;24
766298.9;6284541.07;1.1;0.49;87;8800;162.3;16
766298.82;6284543.91;1.09;0.62;95;8720;184.9;9.6
766298.72;6284546.59;1.14;0.61;94;9120;191.9;10.4
766298.66;6284549.66;1.12;0.49;81;8960;153.4;20.8
766298.63;6284552.09;1.09;0.44;90;8720;164.4;13.6
766298.54;6284555.51;1.07;0.63;87;8560;163.9;16
766298.47;6284558.08;1.04;0.68;93;8320;173.9;11.2
766298.41;6284561.02;1.17;0.66;94;9360;200.9;10.4
766298.34;6284563.81;1.06;0.44;94;8480;167.7;10.4
766298.27;6284566.89;1.17;0.47;93;9360;187.6;11.2
766298.25;6284569.61;1.24;0.67;95;9920;219.8;9.6
766298.19;6284572.49;1.07;0.58;95;8560;178.7;9.6
766298.15;6284575.32;1.09;0.42;95;8720;174.2;9.6
766298.09;6284578.12;1.25;0.5;92;10000;203.3;12
766298;6284580.96;1.1;0.44;83;8800;152;19.2
766297.91;6284583.41;0.98;0.32;88;7840;137.6;15.2
766297.76;6284587.09;1.05;0.42;88;8400;152.7;15.2
766297.73;6284589.46;1.06;0.7;84;8480;159.2;18.4
766297.66;6284592.58;1.08;0.54;83;8640;153.1;19.2
766297.59;6284595.32;1.11;0.43;89;8880;165.3;14.4
766297.52;6284598.08;1.08;0.48;92;8640;168.9;12
766297.45;6284601.02;1.09;0.53;93;8720;175.5;11.2
766297.37;6284603.58;1.11;0.41;92;8880;170.9;12
766297.28;6284606.55;1.16;0.58;86;9280;175.2;16.8
766297.19;6284608.7;1.1;0.59;78;8800;148.9;23.2
766297.1;6284611.89;1.13;0.6;88;9040;175.2;15.2
766297.03;6284614.98;1.11;0.53;95;8880;183.8;9.6
766296.99;6284617.87;1.07;0.54;94;8560;174.4;10.4
766296.87;6284620.58;1.01;0.54;95;8080;165.8;9.6
766296.79;6284622.74;1.05;0.49;76;8400;133.7;24.8
766296.75;6284626.52;1.11;0.61;75;8880;145.7;25.6
766296.78;6284629.33;0.93;0.21;47;7440;74.7;48
766296.69;6284631.88;1.13;0.44;91;9040;173.7;12.8
766296.64;6284634.2;1.13;0.63;89;9040;179;14.4
766296.59;6284636.42;1.17;0.61;91;9360;190.7;12.8
766322.96;6284656.8;0.51;0.19;6;4080;28.5;80.8
766323.74;6284651.32;0.81;0.46;48;6480;71.7;47.2
766323.7;6284649.48;1.34;0.61;88;10720;219.8;15.2
766323.83;6284646.76;1.39;0.48;94;11120;240.6;10.4
766324.05;6284644;1.4;0.54;90;11200;235.3;13.6
766324.04;6284640.9;1.4;0.48;91;11200;234.3;12.8
766324.05;6284638.37;1.17;0.72;86;9360;184.7;16.8
766324.12;6284635.02;1.6;0.59;80;12800;259.9;21.6
766324.19;6284632.44;1.33;0.61;92;10640;228.8;12
766324.15;6284629.68;1.22;0.69;92;9760;208.4;12
766324.14;6284626.91;1.06;0.54;88;8480;159.9;15.2
766324.19;6284623.69;1.17;0.57;91;9360;188.2;12.8
766324.26;6284620.8;1.33;0.76;88;10640;227;15.2
766324.4;6284617.78;1.31;0.53;92;10480;218.5;12
766324.51;6284614.83;1.16;0.51;72;9280;143.5;28
766324.49;6284611.92;1.26;0.75;90;10080;215.7;13.6
766324.55;6284609.06;1.36;0.5;91;10880;225.7;12.8
766324.65;6284606.13;1.43;0.39;90;11440;232.5;13.6
766324.73;6284603.17;1.22;0.56;92;9760;200.5;12
766324.82;6284600.38;1.3;0.58;96;10400;231.1;8.8
766324.85;6284597.38;1.4;0.53;92;11200;240.6;12
766324.86;6284594.86;1.27;0.48;83;10160;184.1;19.2
766324.98;6284591.54;1.22;0.63;92;9760;204.7;12
766325.04;6284588.73;1.13;0.57;87;9040;171.6;16
766325.16;6284585.86;1.14;0.59;88;9120;176.6;15.2
766325.24;6284582.4;1.32;0.41;72;10560;165.1;28
766325.39;6284579.93;1.26;0.5;94;10080;211;10.4
766325.4;6284577.09;1.27;0.77;82;10160;197.8;20
766325.43;6284574.24;1.17;0.68;94;9360;202.3;10.4
766325.51;6284571.17;1.3;0.69;88;10400;215.7;15.2
766325.54;6284568.39;1.25;0.45;95;10000;208.4;9.6
766325.56;6284565.53;1.44;0.51;92;11520;249.4;12
766325.58;6284562.42;1.04;0.72;67;8320;126;32
766325.65;6284559.56;1.3;0.66;73;10400;176.3;27.2
766325.73;6284556.76;1.53;0.54;89;12240;266.4;14.4
766325.78;6284553.89;1.08;0.57;67;8640;125.9;32
766325.81;6284551;1.33;0.45;95;10640;226.6;9.6
766325.88;6284548.21;1.3;0.47;89;10400;204.7;14.4
766325.94;6284545.32;1.16;0.43;95;9280;188.2;9.6
766326.01;6284542.58;1.24;0.44;93;9920;200.2;11.2
766326.11;6284539.63;1.26;0.51;94;10080;211.4;10.4
766326.16;6284536.91;1.17;0.5;92;9360;187;12
766326.21;6284534.38;1.36;0.57;76;10880;190.1;24.8
766325.96;6284531.48;1.28;0.57;88;10240;203.7;15.2
766321.51;6284532.12;1.63;0.48;91;13040;298.5;12.8
766321.44;6284535.1;1.29;0.54;89;10320;206.5;14.4
766321.37;6284537.87;1.23;0.52;94;9840;205.5;10.4
766321.25;6284540.61;1.24;0.51;90;9920;196.8;13.6
766321.15;6284543.38;1.13;0.55;95;9040;188.8;9.6
766321.16;6284546.24;1.24;0.44;91;9920;195.2;12.8
766321.07;6284548.88;1.09;0.59;94;8720;180.9;10.4
766321.01;6284551.82;1.48;0.45;92;11840;255.9;12
766320.97;6284553.83;1.34;0.45;66;10720;157.9;32.8
766320.95;6284557.66;1.24;0.48;86;9920;185.2;16.8
766320.93;6284560.1;1.17;0.51;94;9360;192.3;10.4
766320.86;6284562.63;1.1;0.57;92;8800;177.1;12
766320.78;6284565.83;1.37;0.57;81;10960;204.7;20.8
766320.7;6284568.42;1.21;0.53;94;9680;201.9;10.4
766320.66;6284571.32;1.18;0.42;80;9440;158.1;21.6
766320.56;6284573.8;1.18;0.38;91;9440;180.1;12.8
766320.53;6284576.65;1.16;0.53;94;9280;191.3;10.4
766320.5;6284579.19;1.25;0.49;77;10000;167.4;24
766320.4;6284582.09;1.46;0.51;73;11680;199.8;27.2
766320.32;6284585.07;1.51;0.39;93;12080;262.8;11.2
766320.24;6284587.76;1.39;0.64;94;11120;252.6;10.4
766320.19;6284590.5;1.22;0.56;96;9760;211;8.8
766320.12;6284593.28;1.28;0.56;96;10240;224.9;8.8
766320.02;6284596.18;1.32;0.58;90;10560;218.5;13.6
766319.98;6284599.21;1.32;0.54;79;10560;187.6;22.4
766319.94;6284601.89;1.41;0.57;88;11280;233.9;15.2
766319.84;6284604.57;1.28;0.68;87;10240;207.7;16
766319.7;6284607.36;1.39;0.5;93;11120;239.1;11.2
766319.55;6284610.42;1.25;0.63;95;10000;219.8;9.6
766319.47;6284613.14;1.24;0.47;88;9920;189.4;15.2
766319.35;6284615.91;1.34;0.7;86;10720;219.8;16.8
766319.2;6284619.05;1.25;0.6;90;10000;204.4;13.6
766319.05;6284621.69;1.27;0.48;92;10160;206.5;12
766318.9;6284624.66;1.12;0.43;90;8960;169.1;13.6
766318.82;6284627.43;1.24;0.53;82;9920;178.7;20
766318.8;6284630.38;1.12;0.51;94;8960;182.3;10.4
766318.77;6284633.18;1.29;0.45;95;10320;217.3;9.6
766318.62;6284636.09;1.15;0.46;95;9200;187.9;9.6
766318.62;6284638.66;1.2;0.55;81;9600;170.1;20.8
766318.52;6284641.83;1.36;0.54;82;10880;203.3;20
766318.42;6284644.46;1.42;0.47;96;11360;254.2;8.8
766318.23;6284647.18;1.38;0.38;96;11040;237.2;8.8
766318.09;6284649.54;1.35;0.86;91;10800;248.3;12.8
766316.38;6284652;0.75;0.53;45;6000;66.1;49.6
766316.06;6284652.19;0.59;0.47;41;4720;52.5;52.8
766313.56;6284640.68;1.37;0.5;83;10960;205.8;19.2
766313.59;6284638.11;1.07;0.5;90;8560;163.9;13.6
766313.64;6284635.4;1.27;0.56;96;10160;222.7;8.8
766313.77;6284632.45;1.31;0.51;90;10480;211.8;13.6
766313.72;6284629.35;1.19;0.44;90;9520;182.9;13.6
766313.73;6284626.94;1.1;0.59;83;8800;158.8;19.2
766313.9;6284623.42;1.36;0.51;72;10880;177.4;28
766314.03;6284620.61;1.17;0.47;89;9360;178.2;14.4
766314.11;6284618;1.27;0.48;94;10160;211.8;10.4
766314.17;6284614.95;1.25;0.39;92;10000;196.8;12
766314.24;6284612.03;1.5;0.48;85;12000;241.1;17.6
766314.33;6284609.06;1.24;0.54;93;9920;206.2;11.2
766314.42;6284606.05;1.22;0.57;90;9760;196.1;13.6
766314.47;6284603.33;1.34;0.53;91;10720;223.1;12.8
766314.48;6284600.38;1.18;0.52;84;9440;171.4;18.4
766314.6;6284597.98;1.37;0.46;84;10960;206.2;18.4
766314.65;6284594.21;1.22;0.76;79;9760;180.1;22.4
766314.69;6284592.14;1.22;0.57;89;9760;193.5;14.4
766314.86;6284588.57;1.25;0.45;91;10000;197.8;12.8
766314.88;6284586.62;1.23;0.47;85;9840;180.4;17.6
766314.96;6284582.62;1.24;0.45;65;9920;140.3;33.6
766315;6284580.13;1.2;0.47;88;9600;181.8;15.2
766315.12;6284577.44;1.25;0.6;82;10000;184.4;20
766315.18;6284575.15;1.21;0.32;76;9680;150.6;24.8
766315.27;6284571.6;1.02;0.43;77;8160;128.8;24
766315.32;6284568.48;1.14;0.58;88;9120;176;15.2
766315.4;6284565.84;1.48;0.54;75;11840;211.4;25.6
766315.51;6284562.92;1.32;0.79;54;10560;146.6;42.4
766315.61;6284560.09;1.36;0.7;89;10880;233.4;14.4
766315.69;6284557.16;1.5;0.73;78;12000;237.2;23.2
766315.8;6284554.57;1.48;0.59;91;11840;263.4;12.8
766315.83;6284551.35;1.34;0.64;73;10720;182.9;27.2
766315.9;6284548.57;1.41;0.48;86;11280;221.9;16.8
766315.95;6284545.99;1.28;0.5;92;10240;209.9;12
766316.03;6284542.93;1.32;0.49;90;10560;213;13.6
766316.09;6284540.31;1.09;0.59;92;8720;176.3;12
766316.21;6284537.64;1.32;0.4;78;10560;177.9;23.2
766316.3;6284534.45;1.24;0.61;86;9920;192.6;16.8
766316.38;6284531.97;1.29;0.63;69;10320;164.1;30.4
766311.54;6284531.15;1.18;0.66;83;9440;176.3;19.2
766311.53;6284534.52;1.22;0.54;88;9760;189.4;15.2
766311.51;6284537.33;1.1;0.52;92;8800;174.4;12
766311.42;6284540.28;1.18;0.54;84;9440;172.4;18.4
766311.36;6284542.91;1.14;0.42;94;9120;181.5;10.4
766311.34;6284545.8;1.16;0.49;93;9280;186.7;11.2
766311.28;6284548.7;1.08;0.39;90;8640;160.3;13.6
766311.19;6284551.45;1.31;0.52;84;10480;196.8;18.4
766311.08;6284554.53;1.17;0.44;87;9360;172.1;16
766311;6284557.31;1.19;0.35;88;9520;173.4;15.2
766310.98;6284560.34;1.34;0.43;91;10720;216.5;12.8
766310.91;6284563.41;1.52;0.47;89;12160;258.2;14.4
766310.8;6284566.67;1.53;0.66;71;12240;219.4;28.8
766310.74;6284569.2;1.4;0.57;94;11200;249.9;10.4
766310.62;6284572.03;1.43;0.5;96;11440;259.3;8.8
766310.53;6284574.58;1.26;0.32;84;10080;176;18.4
766310.45;6284577.99;1.32;0.43;90;10560;209.1;13.6
766310.44;6284580.95;1.25;0.53;91;10000;202.6;12.8
766310.33;6284583.68;1.21;0.51;94;9680;200.5;10.4
766310.25;6284586.85;1.37;0.44;89;10960;218.5;14.4
766310.2;6284589.4;1.17;0.48;87;9360;174.2;16
766310.21;6284592.79;1.26;0.65;89;10080;206.9;14.4
766310.13;6284595.27;1.33;0.45;94;10640;224;10.4
766310.05;6284598.33;1.18;0.54;93;9440;193.5;11.2
766309.96;6284601.29;1.31;0.43;96;10480;223.6;8.8
766309.87;6284604.12;1.27;0.49;89;10160;199.5;14.4
766309.7;6284607.03;1.41;0.57;94;11280;252.6;10.4
766309.57;6284609.99;1.44;0.53;94;11520;257.6;10.4
766309.51;6284612.75;1.33;0.49;95;10640;229.3;9.6
766309.48;6284615.81;1.23;0.47;89;9840;190.1;14.4
766309.41;6284618.74;1.26;0.63;86;10080;197.8;16.8
766309.32;6284621.66;1.51;0.62;76;12080;226.2;24.8
766309.3;6284624.4;1.26;0.45;96;10080;213.3;8.8
766309.27;6284627.6;1.18;0.57;89;9440;185.5;14.4
766309.21;6284630.19;1.29;0.48;93;10320;213.7;11.2
766309.11;6284633.15;1.15;0.5;94;9200;187.6;10.4
766309.09;6284635.98;1.31;0.63;92;10480;225.3;12
766308.99;6284639;1.3;0.47;93;10400;215.3;11.2
766308.88;6284640.94;1.41;0.68;76;11280;206.9;24.8
766302.75;6284643.01;1.09;0.54;94;8720;178.2;10.4
766303.14;6284641.37;1.1;0.43;74;8800;134.9;26.4
766303.82;6284637.59;1.27;0.42;80;10160;173.9;21.6
766303.89;6284635.32;1.18;0.44;93;9440;187.9;11.2
766303.95;6284632.16;1.25;0.59;77;10000;172.4;24
766304.05;6284629.6;1.22;0.72;71;9760;160.5;28.8
766304.15;6284626.57;1.36;0.62;90;10880;231.1;13.6
766304.16;6284623.86;1.18;0.46;95;9440;193.9;9.6
766304.24;6284621.15;1.07;0.39;84;8560;146.8;18.4
766304.27;6284618.06;1.4;0.49;93;11200;241.1;11.2
766304.38;6284615.16;1.15;0.51;95;9200;190.7;9.6
766304.46;6284611.86;1.17;0.5;83;9360;166.5;19.2
766304.51;6284609.51;1.19;0.63;87;9520;186.1;16
766304.55;6284606.76;1.33;0.5;88;10640;210.3;15.2
766304.66;6284603.66;1.3;0.47;93;10400;215.3;11.2
766304.7;6284600.85;1.41;0.52;92;11280;242.6;12
766304.72;6284597.89;1.35;0.53;95;10800;237.2;9.6
766304.75;6284595.22;1.14;0.58;89;9120;178.4;14.4
766304.85;6284592.23;1.24;0.48;92;9920;200.2;12
766304.9;6284589.74;1.35;0.5;78;10800;189.1;23.2
766305.01;6284586.42;1.35;0.44;86;10800;205.8;16.8
766305.11;6284583.8;1.31;0.53;68;10480;160.7;31.2
766305.16;6284580.91;1.17;0.44;93;9360;186.1;11.2
766305.25;6284577.85;1.39;0.61;88;11120;231.5;15.2
766305.37;6284575.13;1.33;0.58;88;10640;215.3;15.2
