X-Lamb;Y-Lamb;Hauteur (m);Epaisseur (m);Densite (%);Leaf wall area (m².ha-1);Pourcentage de la dose homologuée à appliquer
766313.3;6284581.65;0.12;0.16;54;960;39.1
766313.26;6284579.52;0.13;0.11;50;1040;36
766313.29;6284576.26;0.16;0.14;53;1280;39
766313.4;6284573.11;0.16;0.08;51;1280;36.9
766313.49;6284569.81;0.14;0.07;38;1120;28.7
766313.61;6284566.92;0.16;0.09;46;1280;33.8
766313.62;6284564.39;0.09;0.06;50;720;34.6
766313.74;6284561.65;0.14;0.07;38;1120;28.7
766313.8;6284558.64;0.13;0.1;50;1040;35.9
766313.94;6284556.11;0.2;0.14;40;1600;31.5
766313.99;6284552.47;0.14;0.12;51;1120;37
766314;6284550.23;0.14;0.15;36;1120;28.5
766314.14;6284546.65;0.13;0.1;37;1040;28.4
766314.23;6284543.8;0.11;0.09;46;880;32.9
766314.36;6284540.92;0.11;0.13;37;880;28.3
766314.41;6284536.45;0.36;0.02;25;2880;25.2
766314.52;6284534.49;0.19;0.15;27;1520;24.9
766314.5;6284532.04;0.12;0.15;39;960;29.7
766309.53;6284532.03;0.14;0.13;27;1120;24
766309.44;6284533.51;0.13;0.18;26;1040;23.9
766309.34;6284537.29;0.11;0.17;48;880;35
766309.27;6284539.65;0.1;0.09;54;800;37.8
766309.25;6284541.73;0.38;0.38;10;3040;22
766309.18;6284545.53;0.11;0.1;43;880;31.3
766309.11;6284548.24;0.19;0.07;46;1520;34.1
766309.03;6284551.79;0.15;0.13;28;1200;24.6
766308.95;6284554.17;0.12;0.11;37;960;28.3
766308.84;6284557.34;0.2;0.1;37;1600;29.5
766308.82;6284560.11;0.11;0.12;31;880;25.3
766308.75;6284562.84;0.13;0.17;49;1040;36.1
766308.65;6284565.58;0.12;0.13;44;960;32.3
766308.54;6284569.07;0.09;0.08;51;720;35.5
766308.48;6284571.97;0.16;0.12;47;1280;34.8
766308.43;6284574.5;0.14;0.08;29;1120;24.5
766308.36;6284576.9;0.15;0.09;29;1200;24.7
766308.32;6284581.07;0.15;0.11;26;1200;23.6
766308.22;6284583.01;0.1;0.07;16;800;18.9
766308.12;6284586.81;0.1;0.15;37;800;28.4
766308;6284589.57;0.08;0.15;27;640;23.4
766307.93;6284592.34;0.1;0.16;42;800;31.2
766307.88;6284595.86;0.09;0.11;52;720;36.5
766307.79;6284598.35;0.18;0.1;45;1440;33.7
766307.72;6284600.96;0.11;0.12;42;880;30.9
766307.6;6284604.53;0.11;0.09;49;880;34.7
766307.5;6284607.08;0.13;0.09;42;1040;30.9
766307.4;6284609.85;0.12;0.08;34;960;26.5
766307.33;6284612.76;0.2;0.08;44;1600;33.2
766307.28;6284615.55;0.12;0.1;52;960;37
766307.26;6284618.36;0.11;0.09;48;880;34.1
766307.16;6284621.46;0.13;0.09;45;1040;32.7
766307.09;6284624.01;0.12;0.12;44;960;32.2
766307.08;6284627.68;0.1;0.1;50;800;35.3
766307.03;6284630.07;0.1;0.12;43;800;31.3
766306.88;6284633.37;0.12;0.1;38;960;28.7
766306.89;6284636.6;0.08;0.11;43;640;30.9
766306.79;6284638.12;0.06;0.12;33;480;25.6
766304.34;6284640.34;0.21;0.14;47;1680;36
766301.84;6284637.06;0.12;0.1;41;960;30.3
766301.92;6284633.77;0.11;0.13;33;880;26.4
766302.03;6284631.39;0.14;0.15;34;1120;27.5
766302.06;6284628.57;0.12;0.08;17;960;19.5
766302.12;6284625.06;0.14;0.08;34;1120;26.8
766302.23;6284622.48;0.14;0.15;13;1120;18.8
766302.25;6284619.95;0.14;0.12;36;1120;28.2
766302.33;6284616.78;0.1;0.11;18;800;19.9
766302.46;6284613.33;0.12;0.08;17;960;19.5
766302.53;6284610.49;0.17;0.12;9;1360;17.6
766302.56;6284607.69;0.13;0.07;24;1040;22.2
766302.67;6284604.18;0.13;0.08;21;1040;21.1
766302.7;6284601.98;0.12;0.07;30;960;24.6
766302.74;6284598.92;0.15;0.14;31;1200;26.1
766302.84;6284596.04;0.14;0.09;21;1120;21.3
766302.91;6284592.87;0.11;0.14;34;880;26.9
766303.01;6284590.19;0.14;0.14;35;1120;27.9
766303.06;6284587.09;0.12;0.11;28;960;24.1
766303.12;6284584.27;0.15;0.1;16;1200;19.6
766303.17;6284581.53;0.17;0.12;34;1360;27.6
766303.2;6284578.25;0.15;0.09;37;1200;28.6
766303.36;6284575.14;0.17;0.09;25;1360;23.3
766303.43;6284572.62;0.17;0.07;18;1360;20.4
766303.5;6284569.59;0.04;0.19;6;320;15.9
766303.54;6284566.07;0.16;0.08;39;1280;29.7
766303.64;6284563.22;0.11;0.15;35;880;27.5
766303.75;6284559.76;0.24;0.11;19;1920;21.8
766303.87;6284557.61;0.17;0.1;38;1360;29.5
766303.92;6284554.72;0.18;0.13;26;1440;24.1
766304.06;6284551.43;0.17;0.13;37;1360;29.3
766304.14;6284549.28;0.17;0.14;25;1360;23.7
766304.16;6284546.04;0.15;0.07;40;1200;30
766304.2;6284542.72;0.14;0.09;38;1120;28.9
766304.27;6284539.68;0.15;0.06;9;1200;17.1
766304.4;6284536.63;0.19;0.16;17;1520;20.8
766304.51;6284533.21;0.15;0.23;24;1200;23.7
766304.53;6284531.44;0.19;0.21;20;1520;22.4
766299.42;6284532.33;0.19;0.06;25;1520;23.3
766299.44;6284534.47;0.13;0.06;33;1040;26
766299.32;6284538.05;0.08;0.05;31;640;24.3
766299.17;6284540.64;0.12;0.09;34;960;26.6
766299.19;6284543.08;0.12;0.1;46;960;33.2
766299.1;6284546.33;0.16;0.07;43;1280;31.8
766298.96;6284548.98;0.12;0.06;23;960;21.6
766298.87;6284552.11;0.15;0.08;37;1200;28.5
766298.75;6284555.55;0.1;0.11;40;800;29.5
766298.7;6284557.8;0.11;0.07;46;880;32.7
766298.61;6284560.65;0.13;0.07;52;1040;36.8
766298.54;6284563.89;0.13;0.09;38;1040;28.8
766298.56;6284567.22;0.12;0.16;31;960;25.8
766298.55;6284569.32;0.12;0.16;41;960;30.9
766298.49;6284572.3;0.13;0.14;45;1040;33.2
766298.39;6284575.16;0.13;0.1;43;1040;31.6
766298.33;6284578.29;0.1;0.11;44;800;31.8
766298.28;6284580.67;0.1;0.1;26;800;22.9
766298.2;6284583.81;0.12;0.15;31;960;25.7
766298.02;6284587.44;0.12;0.11;41;960;30.4
766297.96;6284589.75;0.1;0.14;38;800;28.8
766297.92;6284592.97;0.11;0.13;48;880;34.6
766297.84;6284595.57;0.11;0.14;54;880;38.7
766297.8;6284598.7;0.12;0.11;46;960;33.3
766297.71;6284601.73;0.14;0.08;36;1120;27.8
766297.6;6284604.38;0.08;0.09;39;640;28.5
766297.47;6284607.53;0.12;0.11;26;960;23.2
766297.47;6284609.98;0.11;0.27;24;880;23.5
766297.34;6284613.06;0.11;0.14;48;880;34.7
766297.15;6284616.15;0.13;0.11;48;1040;34.7
766297.1;6284619.31;0.12;0.16;52;960;37.7
766297.05;6284622.08;0.13;0.08;39;1040;29.2
766297.02;6284625.75;0.06;0.14;38;480;28.2
766296.94;6284627.03;0.14;0.14;38;1120;29.4
766296.9;6284632.12;0.12;0.13;38;960;29
766296.88;6284633.62;0.11;0.11;49;880;35
766296.76;6284636.91;0.12;0.4;50;960;39.5
766291.74;6284635.84;0.11;0.06;42;880;30.3
766291.85;6284633.98;0.11;0.08;46;880;32.8
766291.92;6284629.78;0.16;0.11;40;1280;30.5
766291.97;6284627.84;0.11;0.09;45;880;32.3
766292.03;6284624.49;0.11;0.09;40;880;29.5
766292.13;6284621.13;0.15;0.09;30;1200;25.2
766292.16;6284619.51;0.11;0.08;25;880;22.4
766292.24;6284615.34;0.18;0.09;37;1440;29
766292.33;6284612.41;0.11;0.07;52;880;36.4
766292.41;6284609.87;0.11;0.1;42;880;30.7
766292.47;6284606.77;0.1;0.1;41;800;30
766292.58;6284603.95;0.05;0.09;51;400;34.8
766292.67;6284600.97;0.11;0.09;51;880;36
766292.78;6284597.57;0.11;0.07;53;880;37.1
766292.81;6284594.48;0.19;0.06;44;1520;32.8
766292.83;6284591.97;0.13;0.08;52;1040;36.9
766292.89;6284589.06;0.14;0.09;54;1120;38.6
766292.99;6284585.98;0.18;0.08;50;1440;36.6
766293.03;6284583.46;0.14;0.07;47;1120;33.8
766293.13;6284580.41;0.15;0.09;51;1200;36.8
766293.12;6284577.86;0.11;0.08;46;880;32.8
766293.23;6284573.93;0.17;0.14;39;1360;30.5
766293.24;6284570.57;0.18;0.11;33;1440;27.2
766293.29;6284568.52;0.15;0.17;42;1200;32.1
766293.43;6284565.84;0.2;0.12;49;1600;36.8
766293.5;6284562.51;0.11;0.1;51;880;36.1
766293.55;6284559.29;0.13;0.07;46;1040;33
766293.62;6284556.29;0.19;0.07;44;1520;32.9
766293.72;6284552.81;0.13;0.07;48;1040;34.2
766293.79;6284550.71;0.2;0.07;49;1600;36.2
766293.83;6284547.55;0.12;0.07;46;960;32.8
766293.9;6284544.65;0.24;0.06;37;1920;29.7
766293.94;6284540.81;0.14;0.09;43;1120;31.7
766294;6284538.5;0.14;0.08;38;1120;28.8
766294.16;6284535.68;0.17;0.1;43;1360;32.3
766294.25;6284532.49;0.14;0.06;48;1120;34.3
766323.82;6284655.01;0.02;0.28;11;160;11.9
766323.95;6284651.36;0.07;0.22;17;560;19.9
766324;6284648.96;0.12;0.18;28;960;24.6
766324.08;6284646.17;0.14;0.16;23;1120;22.6
766324.16;6284642.48;0.07;0.63;21;560;24.6
766324.22;6284639.76;0.1;0.17;22;800;21.8
766324.29;6284637.55;0.11;0.19;13;880;18.8
766324.4;6284633.53;0.11;0.24;14;880;19.4
766324.46;6284630.39;0.17;0.23;26;1360;24.8
766324.51;6284627.69;0.13;0.15;20;1040;21.2
766324.62;6284624.33;0.09;0.2;24;720;22.7
766324.63;6284621.77;0.11;0.2;21;880;21.7
766324.74;6284619.03;0.13;0.16;25;1040;23.3
766324.8;6284616.52;0.13;0.11;21;1040;21.3
766324.86;6284613.06;0.19;0.12;19;1520;21.3
766324.95;6284610.34;0.12;0.08;34;960;26.5
766325.03;6284607.01;0.18;0.11;26;1440;24
766325.14;6284604.57;0.12;0.09;27;960;23.5
766325.16;6284601.77;0.18;0.1;30;1440;25.7
766325.26;6284599.52;0.11;0.2;21;880;21.7
766325.27;6284594.98;0.12;0.12;31;960;25.5
766325.36;6284592.33;0.19;0.11;21;1520;22
766325.46;6284589.27;0.13;0.11;18;1040;20.2
766325.57;6284586.14;0.13;0.13;24;1040;22.7
766325.67;6284584.39;0.08;0.12;30;640;24.5
766325.79;6284580.42;0.12;0.09;24;960;22.2
766325.78;6284577.14;0.12;0.13;22;960;21.7
766325.82;6284574.62;0.14;0.08;21;1120;21.2
766326.01;6284571.51;0.13;0.06;22;1040;21.3
766326.09;6284568.86;0.15;0.07;25;1200;22.9
766326.14;6284565.27;0.23;0.15;16;1840;20.9
766326.17;6284563.24;0.08;0.2;5;640;13.4
766326.27;6284556.36;0.17;0.05;18;1360;35.5
766326.34;6284552.54;0.13;0.12;3;1040;20.2
766326.41;6284550.87;0.16;0.09;23;1280;13.9
766326.44;6284547.99;0.17;0.1;23;1360;22.3
766326.59;6284545.06;0.15;0.09;26;1200;22.5
766326.71;6284542.36;0.17;0.13;29;1360;23.4
766326.84;6284539.44;0.16;0.13;26;1280;25.3
766326.94;6284535.59;0.17;0.04;31;1360;23.9
766326.91;6284532.86;0.17;0.23;31;1360;25.5
766323.67;6284531.61;0.21;0.18;34;1680;27.2
766321.96;6284532.89;0.23;0.12;28;1840;28.8
766321.8;6284536.29;0.22;0.09;29;1760;25.6
766321.7;6284539.16;0.17;0.06;29;1360;25.7
766321.6;6284541.9;0.2;0.09;21;1600;24.7
766321.56;6284544.78;0.12;0.1;27;960;22
766321.52;6284547.77;0.16;0.13;27;1280;23.5
766321.48;6284550.51;0.2;0.11;31;1600;24.3
766321.37;6284553.73;0.17;0.08;24;1360;26.5
766321.35;6284557.37;0.22;0.14;12;1760;22.8
766321.27;6284559.49;0.13;0.13;20;1040;19.2
766321.17;6284562.34;0.17;0.12;25;1360;21.1
766321.06;6284565.46;0.14;0.11;22;1120;23.5
766321.04;6284568.57;0.2;0.08;31;1600;21.8
766320.93;6284571.36;0.25;0.12;8;2000;26.3
766320.83;6284573.68;0.15;0.1;24;1200;18.1
766320.77;6284576.86;0.19;0.08;24;1520;22.7
766320.72;6284579.21;0.14;0.08;25;1120;23
766320.58;6284582.11;0.08;0.18;32;640;22.8
766320.54;6284585.79;0.17;0.1;23;1360;25.9
766320.5;6284588.61;0.13;0.14;27;1040;22.5
766320.44;6284591.54;0.13;0.14;32;1040;24
766320.33;6284594.38;0.2;0.09;26;1600;26.3
766320.28;6284597.05;0.16;0.2;16;1280;24.1
