X-Lamb;Y-Lamb;Hauteur (m);Epaisseur (m);Densite (%);Leaf wall area (m².ha-1);Pourcentage de la dose homologuée à appliquer
766765.53;6284781.22;0.51;0.06;25;4080;65.3
766767.91;6284779.93;0.31;0.14;57;2480;98.6
766770.11;6284778.79;0.47;0.1;44;3760;88.6
766774.18;6284776.69;0.43;0.09;49;3440;93.4
766775.22;6284776.1;0.4;0.14;54;3200;100.4
766778.56;6284774.31;0.41;0.15;52;3280;97.9
766780.56;6284773.25;0.38;0.14;55;3040;100.5
766783.25;6284771.86;0.44;0.18;43;3520;86.1
766785.24;6284770.78;0.22;0.25;42;1760;72.2
766787.67;6284769.5;0.45;0.07;44;3600;86.8
766791.96;6284767.3;0.44;0.09;38;3520;77.8
766793.75;6284766.46;0.39;0.78;40;3120;87.2
766796.29;6284765.1;0.53;0.21;32;4240;76.8
766799.04;6284763.56;0.45;0.05;38;3600;77.9
766801.44;6284762.37;0.48;0.13;46;3840;92.9
766804.88;6284760.52;0.5;0.05;45;4000;91.4
766807.3;6284759.22;0.4;0.1;56;3200;103.2
766809.88;6284757.81;0.51;0.14;40;4080;85.9
766811.79;6284756.91;0.45;0.68;44;3600;96.3
766814.18;6284755.67;0.44;0.21;35;3520;75.4
766814.58;6284754.16;0.46;0.1;36;3680;76.5
766807.09;6284753.55;0.43;0.42;61;3440;121.8
766802.92;6284755.78;0.51;0.14;30;4080;72.2
766800.83;6284756.86;0.45;0.18;50;3600;98
766798.3;6284758.24;0.56;0.15;30;4480;75.1
766795.53;6284759.71;0.4;0.15;40;3200;78.9
766793.73;6284760.71;0.51;0.1;36;4080;79.6
766790.14;6284762.58;0.5;0.2;38;4000;83.2
766786.97;6284764.21;0.53;0.18;24;4240;66.5
766784.37;6284765.58;0.43;0.17;52;3440;99.8
766781.79;6284766.94;0.51;0.18;36;4080;80.6
766780.39;6284767.73;0.53;0.05;44;4240;92
766776.06;6284769.97;0.49;0.09;44;3920;89.8
766774.5;6284770.84;0.33;0.12;37;2640;70.5
766771.69;6284772.27;0.39;0.09;57;3120;104.1
766767.81;6284774.33;0.43;0.09;56;3440;105.5
766766.41;6284775.08;0.32;0.2;34;2560;67.4
766763.45;6284776.71;0.44;0.11;40;3520;80.8
766761.8;6284777.69;0.04;0.08;65;320;90.8
766758.19;6284779.48;0.43;0.04;42;3440;82
766754.48;6284781.39;0.5;0.2;39;4000;84.6
766753.02;6284782.16;0.3;0.16;35;2400;67
766749.69;6284783.92;0.43;0.15;44;3440;86.5
766747.53;6284785.06;0.33;0.19;64;2640;114
766744.97;6284786.42;0.43;0.13;44;3440;86.3
766740.98;6284788.6;0.44;0.16;51;3520;98.8
766739.91;6284789.16;0.38;0.4;32;3040;70.5
766736.47;6284790.98;0.43;0.1;48;3440;92
766733.32;6284792.66;0.35;0.12;51;2800;91.4
766731.82;6284793.46;0.47;0.18;43;3760;88.2
766728.47;6284795.26;0.41;0.15;52;3280;97.9
766726.47;6284796.25;0.31;0.12;56;2480;96.5
766722.95;6284798.13;0.46;0.2;56;3680;110.2
766720.82;6284799.27;0.39;0.14;45;3120;85.2
766717.84;6284800.85;0.39;0.18;47;3120;88.9
766714.61;6284802.54;0.46;0.12;40;3680;82.3
766712.34;6284803.68;0.56;0.09;29;4480;73.1
766709.24;6284805.28;0.45;0.12;36;3600;76.2
766706.65;6284806.69;0.23;0.11;59;1840;95.3
766705.16;6284807.46;0.42;0.05;38;3360;76.1
766701.06;6284809.42;0.43;0.08;55;3440;103.6
766698.48;6284810.9;0.37;0.28;45;2960;86
766696.59;6284811.88;0.45;0.1;47;3600;91.9
766692.82;6284813.85;0.46;0.11;50;3680;97.7
766690.73;6284814.99;0.08;0.11;45;640;66.5
766687.68;6284816.59;0.42;0.06;52;3360;97.2
766685.28;6284817.73;0.04;0.07;65;320;90.7
766682.69;6284819.16;0.41;0.16;57;3280;107
766679.23;6284820.96;0.43;0.21;57;3440;109.5
766677.26;6284821.99;0.22;0.14;58;1760;93.6
766674.32;6284823.71;0.42;0.07;41;3360;80.5
766672.64;6284824.64;0.24;0.24;46;1920;78.4
766669.43;6284826.15;0.43;0.13;53;3440;100.9
766666.28;6284827.89;0.38;0.06;48;3040;87.9
766664.48;6284828.81;0.34;0.08;56;2720;98.2
766660.72;6284830.79;0.41;0.16;52;3280;98
766658.45;6284832;0.13;0.17;48;1040;73.6
766656.48;6284832.86;0.49;0.05;30;3920;70
766653.84;6284834.22;0.25;0.3;32;2000;62.7
766651.02;6284832.54;0.46;0.12;42;3680;85.2
766652.35;6284829.75;0.37;0.3;16;2960;55
766654.5;6284828.6;0.47;0.06;48;3760;94.2
766656.91;6284827.28;0.36;0.05;62;2880;110.2
766659.3;6284826;0.48;0.12;38;3840;80.7
766663.44;6284823.78;0.52;0.12;29;4160;71.3
766664.77;6284822.97;0.31;0.06;45;2480;79
766668.13;6284821.41;0.47;0.08;42;3760;85.2
766670.7;6284819.98;0.41;0.11;57;3280;106.1
766672.61;6284818.98;0.51;0.06;19;4080;58.8
766675.93;6284817.38;0.41;0.16;55;3280;103.4
766678.75;6284815.69;0.38;0.11;47;3040;87.1
766680.91;6284814.69;0.48;0.11;33;3840;73.8
766683.87;6284813.22;0.46;0.21;49;3680;97.7
766685.46;6284812.38;0.46;0.1;46;3680;91
766690.02;6284809.9;0.45;0.14;61;3600;117.9
766692.03;6284808.81;0.44;0.13;54;3520;103.4
766694.83;6284807.36;0.44;0.11;42;3520;83.7
766697.06;6284806.15;0.42;0.18;50;3360;95.8
766699.3;6284805.01;0.44;0.13;46;3520;90.1
766702.78;6284803.19;0.45;0.18;47;3600;93.1
766705.87;6284801.5;0.38;0.14;31;3040;66.3
766708.08;6284800.34;0.46;0.1;52;3680;100.9
766710.61;6284798.92;0.42;0.1;47;3360;89.8
766713.2;6284797.5;0.52;0.05;45;4160;92.9
766716.35;6284795.81;0.49;0.13;38;3920;81.4
766719.31;6284794.25;0.41;0.09;59;3280;109.5
766721.72;6284793.05;0.52;0.08;43;4160;90.2
766724.54;6284791.59;0.43;0.12;53;3440;100.7
766726.65;6284790.45;0.45;0.14;43;3600;86.3
766729.6;6284788.93;0.48;0.11;48;3840;95.8
766732.25;6284787.53;0.43;0.13;41;3440;81.9
766734.47;6284786.34;0.47;0.14;25;3760;64.2
766738.37;6284784.2;0.47;0.17;46;3760;92.8
766739.97;6284783.42;0.45;0.16;43;3600;86.5
766743.09;6284781.67;0.49;0.18;41;3920;86.5
766745.39;6284780.42;0.25;0.19;25;2000;55.1
766747.83;6284779.11;0.49;0.3;34;3920;78.2
766751.59;6284777.07;0.44;0.11;50;3520;96.2
766753.56;6284776.05;0.38;0.12;45;3040;84.3
766756.14;6284774.75;0.47;0.15;43;3760;87.8
766758.96;6284773.28;0.44;0.12;45;3520;88.3
766761.85;6284771.72;0.45;0.13;43;3600;86.1
766764.39;6284770.45;0.5;0.23;36;4000;80.7
766767.7;6284768.63;0.62;0.36;0;4960;58.9
766769.64;6284767.58;0.43;0.27;37;3440;78.2
766773.3;6284765.7;0.42;0.14;38;3360;77.2
766774.82;6284764.87;0.47;0.13;42;3760;86
766778.33;6284762.99;0.49;0.16;51;3920;102.6
766779.76;6284762.15;0.25;0.06;43;2000;72.8
766783.74;6284760.12;0.45;0.08;43;3600;85.3
766786.57;6284758.73;0.38;0.14;53;3040;97.2
766788.79;6284757.56;0.41;0.2;49;3280;93.7
766792.25;6284755.7;0.44;0.1;56;3520;106.6
766794.71;6284754.38;0.37;0.13;33;2960;68
766796.59;6284753.37;0.48;0.05;49;3840;96.5
766799.15;6284752.17;0.53;0.17;17;4240;58.9
766800.38;6284751.46;0.54;0.06;13;4320;56.8
766800.41;6284751.45;0.06;0.06;63;480;88.8
766800.41;6284751.45;0.64;1.04;-10;5120;63.8
766800.41;6284751.45;0.05;0.07;65;400;91.4
766800.41;6284751.45;0.62;1.03;-14;4960;61.4
766800.41;6284751.44;0.61;0.08;4;4880;56.9
766800.48;6284751.38;0.09;0.06;40;720;61
766791.4;6284750.44;0.39;0.12;57;3120;104.5
766788.89;6284751.7;0.41;0.2;43;3280;84.4
766785.42;6284753.57;0.38;0.2;60;3040;110.8
766783.38;6284754.64;0.39;0.22;50;3120;94.2
766780.69;6284756.18;0.42;0.13;57;3360;107.4
766778.26;6284757.42;0.38;0.15;42;3040;80.4
766775.44;6284758.91;0.39;0.13;60;3120;110.4
766771.95;6284760.73;0.36;0.14;38;2880;73.7
766770.57;6284761.46;0.36;0.14;51;2880;92.5
766767.75;6284762.92;0.44;0.09;38;3520;77.8
766765.4;6284764.2;0.29;0.6;39;2320;76.8
766762.73;6284765.55;0.49;0.2;39;3920;83.9
766760.38;6284766.78;0.39;0.14;49;3120;91.4
766757.26;6284768.48;0.45;0.09;41;3600;82.7
766754.79;6284769.74;0.35;0.13;44;2800;81.1
766752.6;6284770.87;0.37;0.13;47;2960;86.7
766749.53;6284772.51;0.46;0.19;54;3680;106.1
766747.79;6284773.47;0.42;0.24;49;3360;95.2
766745.37;6284774.78;0.49;0.12;45;3920;91.9
766742.82;6284776.14;0.42;0.13;61;3360;115
766739.73;6284777.77;0.45;0.14;36;3600;76.4
766737.16;6284779.25;0.46;0.18;55;3680;107.8
766735.48;6284780.03;0.34;0.09;50;2720;88.6
766732.12;6284781.89;0.37;0.17;58;2960;105.7
766729.85;6284782.99;0.24;0.12;53;1920;86.8
766726.48;6284784.69;0.26;0.14;38;2080;68.2
766723.63;6284786.11;0.42;0.07;43;3360;83.3
