X-Lamb;Y-Lamb;Hauteur (m);Epaisseur (m);Densite (%);Leaf wall area (m².ha-1);Pourcentage de la dose homologuée à appliquer;Pourcentage du taux de recuperation
766323.61;6284568.3;0.11;0.1;13;880;41.5;63.6
766323.65;6284564.83;0.1;0.17;43;800;72.7;39.6
766323.69;6284562.83;0.12;0.08;46;960;75.3;37.2
766323.81;6284558.38;0.12;0.12;47;960;77.7;36.4
766323.75;6284557.07;0.16;0.11;43;1280;73.6;39.6
766323.85;6284553.88;0.16;0.06;31;1280;58.3;49.2
766323.92;6284550.66;0.2;0.07;22;1600;50.8;56.4
766323.94;6284547.99;0.18;0.09;32;1440;60.6;48.4
766324.04;6284545.47;0.12;0.08;41;960;68.7;41.2
766324.2;6284542.46;0.15;0.12;34;1200;62.4;46.8
766324.38;6284538.79;0.15;0.15;30;1200;58.7;50
766324.43;6284536.47;0.18;0.1;32;1440;60.8;48.4
766324.39;6284533.06;0.11;0.13;23;880;50.2;55.6
766321.75;6284531.24;0.17;0.26;47;1360;83.7;36.4
766319.46;6284532.76;0.14;0.14;43;1120;73.5;39.6
766319.29;6284535.92;0.13;0.15;50;1040;83.3;34
766319.1;6284539.65;0.12;0.12;46;960;76.3;37.2
766319.08;6284542.11;0.12;0.19;31;960;59.6;49.2
766319.13;6284545.55;0.1;0.06;5;800;35.3;70
766319.02;6284547.25;0.13;0.13;35;1040;63.1;46
766318.96;6284550.41;0.07;0.12;46;560;74.2;37.2
766318.94;6284552.57;0.16;0.16;25;1280;22.7;94
766318.84;6284556.01;0.1;0.09;42;800;69.5;40.4
766318.81;6284559.29;0.12;0.07;33;960;59.3;47.6
766318.64;6284562.67;0.17;0.11;44;1360;75.4;38.8
766318.56;6284564.66;0.12;0.12;45;960;74.9;38
766318.49;6284568.4;0.11;0.15;50;880;82.4;34
766318.47;6284571.25;0.12;0.14;47;960;78.2;36.4
766318.29;6284574.07;0.11;0.19;38;880;67.3;43.6
766318.27;6284576.51;0.13;0.1;37;1040;64.8;44.4
766318.21;6284579.28;0.09;0.09;38;720;64.3;43.6
766318.1;6284581.54;0.05;0.22;30;400;56.9;50
766318.05;6284585.33;0.11;0.13;33;880;60.2;47.6
766317.97;6284587.45;0.17;0.17;19;1360;49;58.8
766317.94;6284592.35;0.12;0.07;23;960;49.5;55.6
766317.83;6284594.47;0.11;0.07;42;880;69.4;40.4
766317.75;6284597.38;0.12;0.12;38;960;66;43.6
766317.73;6284600.1;0.1;0.16;45;800;75.1;38
766317.69;6284602.75;0.12;0.17;49;960;81.9;34.8
766317.57;6284605.98;0.11;0.14;35;880;62.6;46
766317.51;6284609.26;0.07;0.2;37;560;64.8;44.4
766317.41;6284611.27;0.19;0.18;34;1520;65.1;46.8
766317.37;6284615.15;0.08;0.27;41;640;71.8;41.2
766317.29;6284618;0.16;0.22;36;1280;67.4;45.2
766317.25;6284621.1;0.14;0.19;29;1120;58.1;50.8
766317.16;6284624.14;0.15;0.17;27;1200;56;52.4
766317.08;6284625.91;0.19;0.18;29;1520;59.5;50.8
766317.02;6284630.06;0.13;0.12;39;1040;67.6;42.8
766316.96;6284632.29;0.15;0.13;30;1200;58.3;50
766316.86;6284635.42;0.1;0.24;26;800;54.8;53.2
766316.87;6284638.3;0.13;0.22;41;1040;72.5;41.2
766316.76;6284640.83;0.11;0.21;40;880;70.2;42
766316.63;6284643.84;0.08;0.37;54;640;93.9;30.8
766311.76;6284640.84;0.33;0.2;9;2640;32.9;81.2
766311.77;6284637.32;0.09;0.18;18;720;46.2;59.6
766311.85;6284635.51;0.17;0.12;32;1360;60.9;48.4
766312;6284632.38;0.15;0.35;20;1200;52.4;58
766311.98;6284630.59;0.12;0.07;18;960;45.2;59.6
766311.99;6284626.78;0.16;0.14;32;1280;61;48.4
766312.1;6284623.72;0.11;0.1;27;880;53.5;52.4
766312.2;6284620.57;0.16;0.12;24;1280;52.4;54.8
766312.29;6284618.15;0.17;0.12;32;1360;60.9;48.4
766312.34;6284615.15;0.17;0.15;24;1360;53.2;54.8
766312.42;6284611.69;0.21;0.16;29;1680;59.8;50.8
766312.53;6284608.72;0.13;0.14;9;1040;39.6;66.8
766312.59;6284605.8;0.19;0.1;18;1520;47.5;59.6
766312.61;6284603.46;0.13;0.25;2;1040;33.7;75.6
766312.63;6284600.11;0.15;0.16;13;1200;43.3;63.6
766312.71;6284597.33;0.17;0.11;26;1360;54.4;53.2
766312.82;6284594.2;0.14;0.1;34;1120;61.7;46.8
766312.88;6284591.39;0.14;0.07;40;1120;68;42
766313.07;6284588.55;0.11;0.12;52;880;84.5;32.4
766313.16;6284585.49;0.17;0.12;45;1360;77;38
