X-Lamb;Y-Lamb;Hauteur (m);Epaisseur (m);Densite (%);Leaf wall area (m².ha-1);Pourcentage de la dose homologuée à appliquer
766899.38;6284766.78;0.25;0.24;20;8400;15.7
766899.86;6284764.62;0.27;0.22;14;8560;14.5
766900.61;6284761.48;0.28;0.22;7;8640;13.5
766901.16;6284758.58;0.37;0.22;16;9360;16.3
766901.7;6284755.85;0.25;0.2;24;8400;16.7
766902.32;6284753.06;0.26;0.23;15;8480;14.6
766903.17;6284748.92;0.28;0.22;10;8640;14
766903.55;6284747.14;0.23;0.18;12;8240;13.4
766904.24;6284743.64;0.25;0.2;18;8400;15
766904.79;6284740.96;0.14;0.22;23;7520;15.5
766905.48;6284738.18;0.35;0.22;29;9200;19.4
766906.04;6284735.49;0.3;0.22;30;8800;19.2
766910.88;6284736.6;0.2;0.19;30;8000;18
766910.26;6284739.63;0.27;0.17;35;8560;20.4
766909.68;6284742.3;0.21;0.24;16;8080;14.3
766909.05;6284745.4;0.24;0.25;11;8320;13.8
766908.42;6284748.23;0.05;0.27;28;6800;16.5
766907.83;6284751.26;0.24;0.21;23;8320;16.4
766907.23;6284753.97;0.22;0.17;16;8160;14.1
766906.57;6284757.07;0.19;0.23;29;4880;17.9
766905.85;6284760.42;0.26;0.18;10;8480;13.4
766905.36;6284762.75;0.28;0.27;28;4160;18.7
766904.63;6284765.78;0.26;0.24;22;8480;16.4
766904.1;6284768.57;0.33;0.23;25;3760;17.9
766903.5;6284771.38;0.17;0.21;21;3440;15.2
766902.95;6284774.07;0.24;0.22;53;2880;28.2
766902.35;6284777.2;0.19;0.23;11;2880;13
766901.73;6284780.02;0.19;0.18;36;7920;19.9
766901.1;6284783.24;0.06;0.16;43;5920;20.9
766900.53;6284786.02;0.4;0.16;30;3200;19.9
766899.93;6284788.78;0.15;0.17;44;7600;22.4
766899.32;6284791.87;0.43;0.15;14;2960;16.3
766898.78;6284794.48;0.19;0.17;40;7920;21.3
766897.94;6284798.03;0.18;0.08;4;7840;11.1
766897.46;6284800.43;0.42;0.18;6;3040;15
766896.75;6284803.63;0.21;0.15;39;8080;21
766896.09;6284806.64;0.48;0.17;13;2560;17.1
766895.53;6284809.07;0.17;0.17;35;7760;19.3
766894.96;6284812.08;0.23;0.2;45;2960;24.1
766894.37;6284814.86;0.28;0.15;25;4160;17
766893.7;6284817.82;0.28;0.16;23;8640;16.4
766893.09;6284820.55;0.1;0.17;31;7200;17.3
766892.67;6284822.57;0.17;0.13;25;7760;15.9
766897.79;6284823.83;0.22;0.19;31;8160;18.6
766898.3;6284821.25;0.02;0.23;26;6560;15.4
766898.9;6284818.39;0.33;0.2;23;9040;17.1
766899.5;6284815.47;0.25;0.23;10;3600;13.6
766900.17;6284812.74;0.18;0.2;38;3360;20.7
766900.88;6284809.49;0.2;0.2;30;8000;18.1
766901.57;6284806.44;0.22;0.24;12;3040;13.6
766902.2;6284803.65;0.27;0.24;20;8560;15.9
766902.67;6284801.22;0.22;0.19;44;3040;23.5
766903.35;6284797.85;0.16;0.23;39;5120;21
766903.93;6284795.08;0.24;0.2;47;3680;25.1
766904.47;6284792.02;0.27;0.27;6;3440;13.6
766905.08;6284789.25;0.25;0.17;43;3600;23.3
766905.68;6284785.95;0.25;0.18;40;2800;22.1
766906.27;6284783.23;0.13;0.24;24;2960;15.8
766906.92;6284779.85;0.16;0.18;21;3520;14.9
766907.48;6284776.92;0.3;0.22;20;3200;16.1
766908.04;6284774.46;0.11;0.2;44;2320;22.2
766908.79;6284771.17;0.25;0.23;31;8400;19.1
766909.21;6284768.91;0.22;0.25;7;1440;12.9
766909.86;6284766.03;0.15;0.26;43;2400;22.7
766910.39;6284763.4;0.16;0.23;8;1600;12.2
766911.11;6284759.92;0.15;0.22;12;1200;12.8
766911.75;6284756.91;0.27;0.21;24;8560;16.9
766912.4;6284753.78;0.29;0.27;17;880;15.7
766913.1;6284750.79;0.24;0.22;28;8320;18
766913.78;6284748.01;0.14;0.15;14;2080;12.9
766914.38;6284744.86;0.22;0.22;27;3040;17.4
766914.99;6284741.65;0.29;0.17;21;8720;16
766915.63;6284738.42;0.12;0.17;10;4640;11.9
766916.05;6284736.47;0.12;0.21;16;5440;13.5
766916.9;6284732.88;0.13;0.2;21;7440;14.8
766920.48;6284732.36;0.2;0.2;4;8000;12
766921.25;6284734.91;0.17;0.23;23;7760;15.8
766920.64;6284738.04;0.33;0.26;5;9040;14.1
766920.28;6284740.08;0.12;0.19;0;5440;10.5
766919.77;6284743.02;0.18;0.11;9;3360;11.9
766919.15;6284746.16;0.18;0.23;19;3360;14.8
766918.26;6284749.94;0.16;0.21;13;2720;13.1
766917.7;6284752.56;0.11;0.28;12;2320;12.8
766917.02;6284755.63;0.21;0.25;41;2320;22.6
766916.37;6284758.78;0.19;0.18;18;2480;14.4
766915.85;6284761.28;0.16;0.22;37;2720;20.2
766915.32;6284764;0.19;0.24;27;2480;17.3
766914.46;6284767.87;0.19;0.27;9;1680;13
766914.09;6284769.8;0.25;0.2;3;2400;12.4
766913.4;6284772.83;0.34;0.21;32;9120;20.3
766912.84;6284775.85;0.29;0.2;28;8720;18.3
766912.17;6284778.84;0.23;0.23;-2;2960;11.7
766911.73;6284781.22;0.23;0.22;23;2960;16.3
766911.11;6284784.02;0.21;0.18;22;3120;15.6
766910.51;6284787.01;0.15;0.18;39;2400;20.6
766909.91;6284789.75;0.26;0.18;36;8480;20.7
766909.3;6284792.81;0.18;0.2;17;3360;14.2
766908.86;6284795.38;0.2;0.16;36;8000;19.9
766908.23;6284798.33;0.16;0.2;5;3520;11.6
766907.45;6284801.29;0.23;0.19;32;8240;19
766906.82;6284804.25;0.24;0.2;25;8320;16.9
766906.18;6284807.24;0.16;0.18;20;2720;14.7
766905.54;6284810.26;0.3;0.17;32;8800;19.6
766905.03;6284812.79;0.15;0.17;-1;2800;10.6
766904.32;6284816.07;0.22;0.21;35;8960;20.1
766903.71;6284819.15;0.25;0.17;38;8400;21.3
766903.15;6284821.93;0.14;0.17;23;6080;15.3
766902.69;6284824.51;0.16;0.21;33;7680;18.8
766896.33;6284765.89;0.39;0.21;63;3120;36.6
766896.1;6284768.08;0.3;0.28;61;2400;34.4
766895.66;6284771.03;0.27;0.22;55;2160;29.7
766895.2;6284773.68;0.51;0.22;55;4080;33.9
766894.63;6284776.63;0.34;0.2;60;2720;33.6
766894.02;6284779.54;0.42;0.17;57;3360;32.9
766893.51;6284782.12;0.37;0.14;60;2960;33.4
766892.89;6284785.08;0.32;0.17;70;2560;39.4
766892.25;6284787.87;0.22;0.18;72;1760;38.8
766891.74;6284790.48;0.29;0.19;67;2320;37
766891.09;6284793.85;0.35;0.17;59;2800;32.8
766890.56;6284796.54;0.46;0.17;61;3680;36.1
766889.91;6284799.44;0.34;0.18;64;2720;35.8
766889.27;6284802.38;0.43;0.17;57;3440;33.1
766888.62;6284805.35;0.31;0.16;60;2480;32.6
