X-Lamb;Y-Lamb;Hauteur (m);Epaisseur (m);Densite (%);Leaf wall area (m².ha-1);Pourcentage de la dose homologuée à appliquer
766923.59;6284735.96;0.25;0.14;59;2000;133.2
766923;6284739.14;0.24;0.25;58;1920;132.5
766922.4;6284742.4;0.2;0.25;83;1600;198.1
766921.97;6284744.88;0.18;0.41;74;1440;171.4
766921.28;6284747.94;0.22;0.18;72;1760;164.1
766920.54;6284751.2;0.24;0.19;79;1920;188.5
766919.99;6284753.79;0.18;0.25;61;1440;133.1
766919.35;6284756.67;0.21;0.22;67;1680;150.4
766918.81;6284759.34;0.1;0.34;39;800;86.7
766918.15;6284762.7;0.22;0.21;68;1760;154
766917.61;6284765.39;0.25;0.2;67;2000;154.6
766916.84;6284768.88;0.18;0.43;61;640;137.3
766916.26;6284771.51;0.22;0.23;61;1760;136.8
766915.63;6284774.55;0.3;0.17;57;2400;134.4
766915.12;6284777.11;0.27;0.22;60;2160;139.6
766914.55;6284779.73;0.3;0.18;59;2400;139.4
766913.98;6284782.64;0.3;0.21;60;2400;142.7
766913.34;6284785.71;0.31;0.19;60;2480;143.4
766912.73;6284788.51;0.32;0.21;56;2560;135.2
766912.13;6284791.31;0.27;0.17;61;2160;140.8
766911.61;6284794.08;0.26;0.16;55;2080;125.8
766911.1;6284796.99;0.21;0.2;65;1680;144.8
766910.39;6284799.9;0.19;0.19;68;1520;149.8
766909.65;6284802.92;0.23;0.21;67;1840;152.5
766909.09;6284805.51;0.29;0.15;67;2320;158.1
766908.48;6284808.57;0.1;0.31;40;800;87.7
766907.8;6284811.63;0.32;0.17;54;2560;129.7
766907.21;6284814.44;0.28;0.2;68;2240;161.2
766906.61;6284817.41;0.27;0.21;65;2160;152
766905.99;6284820.5;0.26;0.2;73;2080;172.9
766905.41;6284823.42;0.25;0.25;63;2000;145.5
