X-Lamb;Y-Lamb;Hauteur;Epaisseur;TFI;LWAl
766654.5;6284828.6;0.47;0.06;0.83;3760
766656.91;6284827.28;0.36;0.05;0.97;2880
766659.3;6284826;0.48;0.12;0.73;3840
766663.44;6284823.78;0.52;0.12;0.64;4160
766664.77;6284822.97;0.31;0.06;0.8;2480
766668.13;6284821.41;0.47;0.08;0.77;3760
766670.7;6284819.98;0.41;0.11;0.92;3280
766672.61;6284818.98;0.51;0.06;0.54;4080
766675.93;6284817.38;0.41;0.16;0.9;3280
766678.75;6284815.69;0.38;0.11;0.82;3040
766680.91;6284814.69;0.48;0.11;0.68;3840
766683.87;6284813.22;0.46;0.21;0.84;3680
766685.46;6284812.38;0.46;0.1;0.81;3680
766690.02;6284809.9;0.45;0.14;0.96;3600
766692.03;6284808.81;0.44;0.13;0.89;3520
766694.83;6284807.36;0.44;0.11;0.77;3520
766697.06;6284806.15;0.42;0.18;0.85;3360
766699.3;6284805.01;0.44;0.13;0.81;3520
766702.78;6284803.19;0.45;0.18;0.82;3600
766705.87;6284801.5;0.38;0.14;0.66;3040
766708.08;6284800.34;0.46;0.1;0.87;3680
766710.61;6284798.92;0.42;0.1;0.82;3360
766713.2;6284797.5;0.52;0.05;0.8;4160
766716.35;6284795.81;0.49;0.13;0.73;3920
766719.31;6284794.25;0.41;0.09;0.94;3280
766721.72;6284793.05;0.52;0.08;0.78;4160
766724.54;6284791.59;0.43;0.12;0.88;3440
766726.65;6284790.45;0.45;0.14;0.78;3600
766729.6;6284788.93;0.48;0.11;0.83;3840
766732.25;6284787.53;0.43;0.13;0.76;3440
766734.47;6284786.34;0.47;0.14;0.6;3760
766738.37;6284784.2;0.47;0.17;0.81;3760
766739.97;6284783.42;0.45;0.16;0.78;3600
766743.09;6284781.67;0.49;0.18;0.76;3920
766745.39;6284780.42;0.25;0.19;0.6;2000
766747.83;6284779.11;0.49;0.3;0.69;3920
766751.59;6284777.07;0.44;0.11;0.85;3520
766753.56;6284776.05;0.38;0.12;0.8;3040
766756.14;6284774.75;0.47;0.15;0.78;3760
766758.96;6284773.28;0.44;0.12;0.8;3520
766761.85;6284771.72;0.45;0.13;0.78;3600
766764.39;6284770.45;0.5;0.23;0.71;4000
766767.7;6284768.63;0.62;0.36;0.35;4960
766769.64;6284767.58;0.43;0.27;0.72;3440
766773.3;6284765.7;0.42;0.14;0.73;3360
