X-Lamb;Y-Lamb;Hauteur (m);Epaisseur (m);Densite (%);Leaf wall area (m².ha-1);Pourcentage de la dose homologuée à appliquer;Pourcentage du taux de recuperation
766902.69;6284824.51;0.16;0.21;33;7680;21;45.6
766896.33;6284765.89;0.39;0.21;63;3120;40.9;21.6
766896.1;6284768.08;0.3;0.28;61;2400;38.5;23.2
766895.66;6284771.03;0.27;0.22;55;2160;33.3;28
766895.2;6284773.68;0.51;0.22;55;4080;37.9;28
766894.63;6284776.63;0.34;0.2;60;2720;37.6;24
766894.02;6284779.54;0.42;0.17;57;3360;36.8;26.4
766893.51;6284782.12;0.37;0.14;60;2960;37.4;24
766892.89;6284785.08;0.32;0.17;70;2560;44.1;16
766892.25;6284787.87;0.22;0.18;72;1760;43.4;14.4
766891.74;6284790.48;0.29;0.19;67;2320;41.4;18.4
766891.09;6284793.85;0.35;0.17;59;2800;36.7;24.8
766890.56;6284796.54;0.46;0.17;61;3680;40.4;23.2
766889.91;6284799.44;0.34;0.18;64;2720;40.1;20.8
766889.27;6284802.38;0.43;0.17;57;3440;37;26.4
766888.62;6284805.35;0.31;0.16;60;2480;36.5;24
766888.04;6284808.04;0.36;0.16;62;2880;38.9;22.4
766887.46;6284811.04;0.44;0.19;61;3520;40.3;23.2
766886.83;6284814.08;0.33;0.22;63;2640;39.7;21.6
766886.2;6284816.9;0.42;0.16;66;3360;43.2;19.2
766885.69;6284819.56;0.35;0.19;62;2800;39.1;22.4
766885.93;6284822.13;0.48;0.43;69;3840;51.6;16.8
766890.21;6284822.25;0.41;0.22;64;3280;42.3;20.8
766891.02;6284818.98;0.35;0.18;38;2800;25.2;41.6
766891.5;6284816.86;0.37;0.19;65;2960;41.7;20
766892.08;6284813.86;0.37;0.19;59;2960;37.4;24.8
766892.7;6284811.01;0.3;0.18;64;2400;39.3;20.8
766893.36;6284807.87;0.43;0.2;59;3440;38.8;24.8
766893.95;6284804.84;0.23;0.21;63;1840;37.5;21.6
766894.53;6284802.12;0.39;0.19;62;3120;39.9;22.4
766895.16;6284798.95;0.36;0.17;62;2880;39;22.4
766895.88;6284795.89;0.32;0.19;64;2560;39.8;20.8
766896.52;6284792.76;0.39;0.14;63;3120;39.9;21.6
766897.09;6284789.89;0.29;0.21;67;2320;41.6;18.4
766897.71;6284787.14;0.34;0.19;65;2720;41;20
766898.35;6284783.94;0.41;0.16;66;3280;42.9;19.2
766898.95;6284781.27;0.33;0.2;66;2640;41.7;19.2
766899.63;6284778.21;0.41;0.2;62;3280;40.5;22.4
766900.25;6284775.21;0.29;0.2;61;2320;37.2;23.2
766900.79;6284772.38;0.25;0.24;61;2000;36.9;23.2
766901.37;6284769.39;0.44;0.24;59;3520;39.5;24.8
766902.02;6284766.43;0.22;0.27;59;1760;35.4;24.8
766902.58;6284764.01;0.23;0.23;66;1840;39.9;19.2
766903.2;6284761.16;0.25;0.23;57;2000;34.2;26.4
766903.8;6284758.04;0.24;0.25;56;1920;33.7;27.2
766904.56;6284754.53;0.22;0.25;57;1760;33.9;26.4
766905.06;6284752.07;0.19;0.28;69;1520;41.9;16.8
766905.69;6284749.1;0.2;0.25;74;1600;45.6;12.8
766906.1;6284747.07;0.18;0.23;62;1440;36.1;22.4
766906.93;6284742.88;0.21;0.24;57;1680;33.6;26.4
766907.42;6284740.7;0.43;0.21;52;3440;34.3;30.4
766908.1;6284737.91;0.36;0.15;51;2880;31.8;31.2
766911.8;6284736.03;0.58;0.22;45;4640;32.9;36
766913.17;6284737.94;0.22;0.23;54;1760;31.9;28.8
766912.58;6284740.82;0.28;0.26;53;2240;32.7;29.6
766911.93;6284743.87;0.22;0.25;60;1760;35.8;24
766911.24;6284747.03;0.27;0.23;53;2160;32.2;29.6
766910.77;6284749.28;0.21;0.29;57;1680;34.2;26.4
766910.06;6284752.75;0.2;0.21;63;1600;36.9;21.6
766909.43;6284755.64;0.24;0.25;61;1920;36.9;23.2
766908.79;6284758.52;0.21;0.26;68;1680;41.3;17.6
766908.22;6284761.33;0.31;0.23;62;2480;38.7;22.4
766907.52;6284764.33;0.3;0.23;59;2400;36.5;24.8
766906.91;6284767.19;0.17;0.26;43;1360;25.7;37.6
766906.32;6284770.09;0.4;0.29;38;3200;26.9;41.6
