X-Lamb;Y-Lamb;Hauteur;Epaisseur;TFI;LWAl
766309.25;6284541.73;0.38;0.38;0.55;3040
766309.18;6284545.53;0.11;0.1;0.88;880
766309.11;6284548.24;0.19;0.07;0.91;1520
766309.03;6284551.79;0.15;0.13;0.73;1200
766308.95;6284554.17;0.12;0.11;0.82;960
766308.84;6284557.34;0.2;0.1;0.82;1600
766308.82;6284560.11;0.11;0.12;0.76;880
766308.75;6284562.84;0.13;0.17;0.94;1040
766308.65;6284565.58;0.12;0.13;0.89;960
766308.54;6284569.07;0.09;0.08;0.96;720
766308.48;6284571.97;0.16;0.12;0.92;1280
766308.43;6284574.5;0.14;0.08;0.74;1120
766308.36;6284576.9;0.15;0.09;0.74;1200
766308.32;6284581.07;0.15;0.11;0.71;1200
766308.22;6284583.01;0.1;0.07;0.61;800
766308.12;6284586.81;0.1;0.15;0.82;800
766308;6284589.57;0.08;0.15;0.72;640
766307.93;6284592.34;0.1;0.16;0.87;800
766307.88;6284595.86;0.09;0.11;0.97;720
766307.79;6284598.35;0.18;0.1;0.9;1440
766307.72;6284600.96;0.11;0.12;0.87;880
766307.6;6284604.53;0.11;0.09;0.94;880
766307.5;6284607.08;0.13;0.09;0.87;1040
766307.4;6284609.85;0.12;0.08;0.79;960
766307.33;6284612.76;0.2;0.08;0.89;1600
766307.28;6284615.55;0.12;0.1;0.97;960
766307.26;6284618.36;0.11;0.09;0.93;880
766307.16;6284621.46;0.13;0.09;0.9;1040
766307.09;6284624.01;0.12;0.12;0.89;960
766307.08;6284627.68;0.1;0.1;0.95;800
766307.03;6284630.07;0.1;0.12;0.88;800
766306.88;6284633.37;0.12;0.1;0.83;960
766306.89;6284636.6;0.08;0.11;0.88;640
766306.79;6284638.12;0.06;0.12;0.78;480
766304.34;6284640.34;0.21;0.14;0.92;1680
766301.84;6284637.06;0.12;0.1;0.86;960
766301.92;6284633.77;0.11;0.13;0.78;880
766302.03;6284631.39;0.14;0.15;0.79;1120
766302.06;6284628.57;0.12;0.08;0.62;960
766302.12;6284625.06;0.14;0.08;0.79;1120
766302.23;6284622.48;0.14;0.15;0.58;1120
766302.25;6284619.95;0.14;0.12;0.81;1120
766302.33;6284616.78;0.1;0.11;0.63;800
766302.46;6284613.33;0.12;0.08;0.62;960
766302.53;6284610.49;0.17;0.12;0.54;1360
766302.56;6284607.69;0.13;0.07;0.69;1040
766302.67;6284604.18;0.13;0.08;0.66;1040
766302.7;6284601.98;0.12;0.07;0.75;960
766302.74;6284598.92;0.15;0.14;0.76;1200
766302.84;6284596.04;0.14;0.09;0.66;1120
766302.91;6284592.87;0.11;0.14;0.79;880
766303.01;6284590.19;0.14;0.14;0.8;1120
766303.06;6284587.09;0.12;0.11;0.73;960
766303.12;6284584.27;0.15;0.1;0.61;1200
766303.17;6284581.53;0.17;0.12;0.79;1360
766303.2;6284578.25;0.15;0.09;0.82;1200
766303.36;6284575.14;0.17;0.09;0.7;1360
766303.43;6284572.62;0.17;0.07;0.63;1360
766303.5;6284569.59;0.04;0.19;0.51;320
766303.54;6284566.07;0.16;0.08;0.84;1280
766303.64;6284563.22;0.11;0.15;0.8;880
766303.75;6284559.76;0.24;0.11;0.64;1920
766303.87;6284557.61;0.17;0.1;0.83;1360
766303.92;6284554.72;0.18;0.13;0.71;1440
766304.06;6284551.43;0.17;0.13;0.82;1360
766304.14;6284549.28;0.17;0.14;0.7;1360
766304.16;6284546.04;0.15;0.07;0.85;1200
766304.2;6284542.72;0.14;0.09;0.83;1120
766304.27;6284539.68;0.15;0.06;0.54;1200
766304.4;6284536.63;0.19;0.16;0.62;1520
766304.51;6284533.21;0.15;0.23;0.69;1200
766304.53;6284531.44;0.19;0.21;0.65;1520
766299.42;6284532.33;0.19;0.06;0.7;1520
766299.44;6284534.47;0.13;0.06;0.78;1040
766299.32;6284538.05;0.08;0.05;0.76;640
766299.17;6284540.64;0.12;0.09;0.79;960
766299.19;6284543.08;0.12;0.1;0.91;960
766299.1;6284546.33;0.16;0.07;0.88;1280
766298.96;6284548.98;0.12;0.06;0.68;960
766298.87;6284552.11;0.15;0.08;0.82;1200
766298.75;6284555.55;0.1;0.11;0.85;800
766298.7;6284557.8;0.11;0.07;0.91;880
766298.61;6284560.65;0.13;0.07;0.97;1040
766298.54;6284563.89;0.13;0.09;0.83;1040
766298.56;6284567.22;0.12;0.16;0.76;960
766298.55;6284569.32;0.12;0.16;0.86;960
766298.49;6284572.3;0.13;0.14;0.9;1040
766298.39;6284575.16;0.13;0.1;0.88;1040
766298.33;6284578.29;0.1;0.11;0.89;800
766298.28;6284580.67;0.1;0.1;0.71;800
766298.2;6284583.81;0.12;0.15;0.76;960
766298.02;6284587.44;0.12;0.11;0.86;960
766297.96;6284589.75;0.1;0.14;0.83;800
766297.92;6284592.97;0.11;0.13;0.93;880
766297.84;6284595.57;0.11;0.14;0.99;880
766297.8;6284598.7;0.12;0.11;0.91;960
766297.71;6284601.73;0.14;0.08;0.81;1120
766297.6;6284604.38;0.08;0.09;0.84;640
766297.47;6284607.53;0.12;0.11;0.71;960
766297.47;6284609.98;0.11;0.27;0.69;880
766297.34;6284613.06;0.11;0.14;0.93;880
766297.15;6284616.15;0.13;0.11;0.93;1040
766297.1;6284619.31;0.12;0.16;0.97;960
766297.05;6284622.08;0.13;0.08;0.84;1040
766297.02;6284625.75;0.06;0.14;0.83;480
766296.94;6284627.03;0.14;0.14;0.83;1120
766296.9;6284632.12;0.12;0.13;0.83;960
766296.88;6284633.62;0.11;0.11;0.94;880
766296.76;6284636.91;0.12;0.4;0.95;960
766291.74;6284635.84;0.11;0.06;0.87;880
766291.85;6284633.98;0.11;0.08;0.91;880
766291.92;6284629.78;0.16;0.11;0.85;1280
766291.97;6284627.84;0.11;0.09;0.9;880
766292.03;6284624.49;0.11;0.09;0.85;880
766292.13;6284621.13;0.15;0.09;0.75;1200
766292.16;6284619.51;0.11;0.08;0.7;880
766292.24;6284615.34;0.18;0.09;0.82;1440
766292.33;6284612.41;0.11;0.07;0.97;880
766292.41;6284609.87;0.11;0.1;0.87;880
766292.47;6284606.77;0.1;0.1;0.86;800
766292.58;6284603.95;0.05;0.09;0.96;400
766292.67;6284600.97;0.11;0.09;0.96;880
766292.78;6284597.57;0.11;0.07;0.98;880
766292.81;6284594.48;0.19;0.06;0.89;1520
766292.83;6284591.97;0.13;0.08;0.97;1040
766292.89;6284589.06;0.14;0.09;0.99;1120
766292.99;6284585.98;0.18;0.08;0.95;1440
766293.03;6284583.46;0.14;0.07;0.92;1120
766293.13;6284580.41;0.15;0.09;0.96;1200
766293.12;6284577.86;0.11;0.08;0.91;880
766293.23;6284573.93;0.17;0.14;0.84;1360
766293.24;6284570.57;0.18;0.11;0.78;1440
766293.29;6284568.52;0.15;0.17;0.87;1200
766293.43;6284565.84;0.2;0.12;0.94;1600
766293.5;6284562.51;0.11;0.1;0.96;880
766293.55;6284559.29;0.13;0.07;0.91;1040
766293.62;6284556.29;0.19;0.07;0.89;1520
766293.72;6284552.81;0.13;0.07;0.93;1040
766293.79;6284550.71;0.2;0.07;0.94;1600
766293.83;6284547.55;0.12;0.07;0.91;960
766293.9;6284544.65;0.24;0.06;0.82;1920
766293.94;6284540.81;0.14;0.09;0.88;1120
766294;6284538.5;0.14;0.08;0.83;1120
766294.16;6284535.68;0.17;0.1;0.88;1360
766294.25;6284532.49;0.14;0.06;0.93;1120
766323.82;6284655.01;0.02;0.28;0.34;160
766323.95;6284651.36;0.07;0.22;0.62;560
766324;6284648.96;0.12;0.18;0.73;960
766324.08;6284646.17;0.14;0.16;0.68;1120
766324.16;6284642.48;0.07;0.63;0.66;560
766324.22;6284639.76;0.1;0.17;0.67;800
766324.29;6284637.55;0.11;0.19;0.58;880
766324.4;6284633.53;0.11;0.24;0.59;880
766324.46;6284630.39;0.17;0.23;0.71;1360
766324.51;6284627.69;0.13;0.15;0.65;1040
766324.62;6284624.33;0.09;0.2;0.69;720
766324.63;6284621.77;0.11;0.2;0.66;880
766324.74;6284619.03;0.13;0.16;0.7;1040
766324.8;6284616.52;0.13;0.11;0.66;1040
766324.86;6284613.06;0.19;0.12;0.64;1520
766324.95;6284610.34;0.12;0.08;0.79;960
766325.03;6284607.01;0.18;0.11;0.71;1440
766325.14;6284604.57;0.12;0.09;0.72;960
766325.16;6284601.77;0.18;0.1;0.75;1440
766325.26;6284599.52;0.11;0.2;0.66;880
766325.27;6284594.98;0.12;0.12;0.76;960
766325.36;6284592.33;0.19;0.11;0.66;1520
766325.46;6284589.27;0.13;0.11;0.63;1040
766325.57;6284586.14;0.13;0.13;0.69;1040
766325.67;6284584.39;0.08;0.12;0.75;640
766325.79;6284580.42;0.12;0.09;0.69;960
766325.78;6284577.14;0.12;0.13;0.67;960
766325.82;6284574.62;0.14;0.08;0.66;1120
766326.01;6284571.51;0.13;0.06;0.67;1040
766326.09;6284568.86;0.15;0.07;0.7;1200
766326.14;6284565.27;0.23;0.15;0.61;1840
766326.17;6284563.24;0.08;0.2;0.4;640
766326.32;6284558.33;0.01;0;1;80
766326.27;6284556.36;0.17;0.05;0.63;1360
766326.34;6284552.54;0.13;0.12;0.42;1040
766326.41;6284550.87;0.16;0.09;0.68;1280
766326.44;6284547.99;0.17;0.1;0.68;1360
766326.59;6284545.06;0.15;0.09;0.71;1200
766326.71;6284542.36;0.17;0.13;0.74;1360
766326.84;6284539.44;0.16;0.13;0.71;1280
766326.94;6284535.59;0.17;0.04;0.76;1360
766326.91;6284532.86;0.17;0.23;0.76;1360
766323.67;6284531.61;0.21;0.18;0.79;1680
766321.96;6284532.89;0.23;0.12;0.73;1840
766321.8;6284536.29;0.22;0.09;0.74;1760
766321.7;6284539.16;0.17;0.06;0.74;1360
766321.6;6284541.9;0.2;0.09;0.66;1600
766321.56;6284544.78;0.12;0.1;0.72;960
766321.52;6284547.77;0.16;0.13;0.72;1280
766321.48;6284550.51;0.2;0.11;0.76;1600
766321.37;6284553.73;0.17;0.08;0.69;1360
766321.35;6284557.37;0.22;0.14;0.57;1760
766321.27;6284559.49;0.13;0.13;0.65;1040
766321.17;6284562.34;0.17;0.12;0.7;1360
766321.06;6284565.46;0.14;0.11;0.67;1120
766321.04;6284568.57;0.2;0.08;0.76;1600
766320.93;6284571.36;0.25;0.12;0.53;2000
766320.83;6284573.68;0.15;0.1;0.69;1200
766320.77;6284576.86;0.19;0.08;0.69;1520
766320.72;6284579.21;0.14;0.08;0.7;1120
766320.58;6284582.11;0.08;0.18;0.77;640
766320.54;6284585.79;0.17;0.1;0.68;1360
766320.5;6284588.61;0.13;0.14;0.72;1040
766320.44;6284591.54;0.13;0.14;0.77;1040
766320.33;6284594.38;0.2;0.09;0.71;1600
766320.28;6284597.05;0.16;0.2;0.61;1280
766320.24;6284600.18;0.16;0.14;0.73;1280
766320.19;6284603.09;0.23;0.17;0.71;1840
766320.07;6284606.11;0.2;0.12;0.74;1600
766320.01;6284609.29;0.14;0.14;0.72;1120
766319.94;6284611.7;0.19;0.09;0.77;1520
766319.88;6284615.17;0.08;0.16;0.74;640
766319.83;6284617.68;0.12;0.16;0.8;960
766319.75;6284620.77;0.17;0.19;0.65;1360
766319.66;6284623.68;0.14;0.13;0.67;1120
766319.57;6284626.93;0.2;0.18;0.59;1600
766319.51;6284630.09;0.15;0.16;0.69;1200
766319.46;6284632.48;0.15;0.17;0.7;1200
766319.37;6284635.21;0.16;0.15;0.7;1280
766319.39;6284638.29;0.15;0.39;0.61;1200
766319.35;6284640.16;0.09;0.42;0.65;720
766319.1;6284644.21;0.18;0.1;0.72;1440
766316.14;6284642.88;0.2;0.22;0.73;1600
766314.26;6284638.35;0.14;0.11;0.68;1120
766314.34;6284635.62;0.14;0.07;0.67;1120
766314.5;6284632.69;0.1;0.08;0.71;800
766314.44;6284628.51;0.09;1.02;0.79;720
766314.48;6284627.05;0.12;0.1;0.62;960
766314.69;6284622.88;0.15;0.04;0.41;1200
766314.73;6284620.34;0.16;0.14;0.57;1280
766314.77;6284617.82;0.15;0.07;0.61;1200
766314.84;6284614.93;0.11;0.07;0.7;880
766314.92;6284611.71;0.13;0.1;0.65;1040
766315.02;6284608.72;0.11;0.1;0.7;880
766315.07;6284605.63;0.12;0.09;0.67;960
766315.1;6284603.3;0.11;0.2;0.71;880
766315.14;6284599.95;0.16;0.12;0.55;1280
766315.18;6284597.97;0.13;0.12;0.61;1040
766315.35;6284593.39;0.11;0.13;0.71;880
766315.4;6284591.58;0.17;0.15;0.59;1360
766315.56;6284588.31;0.14;0.12;0.72;1120
766315.66;6284586.46;0.21;0.24;0.31;1680
766315.79;6284581.63;0.13;0.11;0.73;1040
766315.74;6284579.17;0.15;0.09;0.74;1200
766315.8;6284575.64;0.22;0.08;0.64;1760
766315.86;6284573.43;0.14;0.09;0.66;1120
766315.98;6284570.72;0.1;0.06;0.76;800
766316.04;6284567.9;0.15;0.1;0.67;1200
766316.09;6284565.02;0.13;0.11;0.6;1040
766316.27;6284561.01;0.13;0.12;0.79;1040
766316.28;6284559.03;0.17;0.15;0.73;1360
766316.4;6284555.86;0.23;0.18;0.79;1840
766316.46;6284552.45;0.28;0.14;0.59;2240
766316.49;6284550.01;0.14;0.13;0.71;1120
766316.63;6284546.93;0.18;0.09;0.71;1440
766316.74;6284543.78;0.14;0.08;0.76;1120
766316.85;6284541.12;0.2;0.12;0.68;1600
766316.93;6284538.69;0.16;0.18;0.7;1280
766317;6284535.61;0.11;0.26;0.72;880
766316.94;6284532.37;0.12;0.15;0.61;960
766312.05;6284531.16;0.22;0.08;0.71;1760
766311.9;6284534.48;0.17;0.22;0.61;1360
766311.85;6284536.71;0.23;0.09;0.75;1840
766311.79;6284539.72;0.18;0.24;0.67;1440
766311.71;6284542.71;0.22;0.09;0.77;1760
766311.68;6284545.09;0.22;0.07;0.83;1760
766311.61;6284548.22;0.16;0.11;0.79;1280
766311.53;6284550.86;0.19;0.23;0.65;1520
766311.44;6284554.17;0.18;0.08;0.73;1440
766311.36;6284557.27;0.15;0.09;0.71;1200
766311.33;6284560.06;0.16;0.07;0.7;1280
