X-Lamb;Y-Lamb;Hauteur (m);Epaisseur (m);Densite (%);Leaf wall area (m².ha-1);Pourcentage de la dose homologuée à appliquer;Pourcentage du taux de recuperation
766706.65;6284806.69;0.23;0.11;59;1840;47.3;48.8
766705.16;6284807.46;0.42;0.05;38;3360;35.2;65.6
766701.06;6284809.42;0.43;0.08;55;3440;48.6;52
766698.48;6284810.9;0.37;0.28;45;2960;42;60
766696.59;6284811.88;0.45;0.1;47;3600;42.8;58.4
766692.82;6284813.85;0.46;0.11;50;3680;45.6;56
766690.73;6284814.99;0.08;0.11;45;640;33.8;60
766687.68;6284816.59;0.42;0.06;52;3360;45.5;54.4
766685.28;6284817.73;0.04;0.07;65;320;46.9;44
766682.69;6284819.16;0.41;0.16;57;3280;51.2;50.4
766679.23;6284820.96;0.43;0.21;57;3440;52.7;50.4
766677.26;6284821.99;0.22;0.14;58;1760;46.7;49.6
766674.32;6284823.71;0.42;0.07;41;3360;37.4;63.2
766672.64;6284824.64;0.24;0.24;46;1920;39.3;59.2
766669.43;6284826.15;0.43;0.13;53;3440;47.7;53.6
766666.28;6284827.89;0.38;0.06;48;3040;41.4;57.6
766664.48;6284828.81;0.34;0.08;56;2720;47.1;51.2
766660.72;6284830.79;0.41;0.16;52;3280;46.8;54.4
766658.45;6284832;0.13;0.17;48;1040;37.5;57.6
766656.48;6284832.86;0.49;0.05;30;3920;31.6;72
766653.84;6284834.22;0.25;0.3;32;2000;31.3;70.4
766651.02;6284832.54;0.46;0.12;42;3680;39.6;62.4
766652.35;6284829.75;0.37;0.3;16;2960;25.1;83.2
766654.5;6284828.6;0.47;0.06;48;3760;43.5;57.6
766656.91;6284827.28;0.36;0.05;62;2880;52.5;46.4
766659.3;6284826;0.48;0.12;38;3840;37.2;65.6
766663.44;6284823.78;0.52;0.12;29;4160;32.3;72.8
766664.77;6284822.97;0.31;0.06;45;2480;37.7;60
766668.13;6284821.41;0.47;0.08;42;3760;39.3;62.4
766670.7;6284819.98;0.41;0.11;57;3280;50.3;50.4
766672.61;6284818.98;0.51;0.06;19;4080;26.3;80.8
766675.93;6284817.38;0.41;0.16;55;3280;49.4;52
766678.75;6284815.69;0.38;0.11;47;3040;41.3;58.4
766680.91;6284814.69;0.48;0.11;33;3840;33.9;69.6
766683.87;6284813.22;0.46;0.21;49;3680;46.3;56.8
766685.46;6284812.38;0.46;0.1;46;3680;42.3;59.2
766690.02;6284809.9;0.45;0.14;61;3600;55.9;47.2
766692.03;6284808.81;0.44;0.13;54;3520;48.8;52.8
766694.83;6284807.36;0.44;0.11;42;3520;39;62.4
766697.06;6284806.15;0.42;0.18;50;3360;45.7;56
766699.3;6284805.01;0.44;0.13;46;3520;42.2;59.2
766702.78;6284803.19;0.45;0.18;47;3600;44;58.4
766705.87;6284801.5;0.38;0.14;31;3040;31.3;71.2
766708.08;6284800.34;0.46;0.1;52;3680;47.1;54.4
766710.61;6284798.92;0.42;0.1;47;3360;42.1;58.4
766713.2;6284797.5;0.52;0.05;45;4160;42.2;60
766716.35;6284795.81;0.49;0.13;38;3920;37.6;65.6
766719.31;6284794.25;0.41;0.09;59;3280;51.8;48.8
766721.72;6284793.05;0.52;0.08;43;4160;41.1;61.6
766724.54;6284791.59;0.43;0.12;53;3440;47.5;53.6
766726.65;6284790.45;0.45;0.14;43;3600;40.4;61.6
766729.6;6284788.93;0.48;0.11;48;3840;44.5;57.6
766732.25;6284787.53;0.43;0.13;41;3440;38.4;63.2
766734.47;6284786.34;0.47;0.14;25;3760;29.5;76
