X-Lamb;Y-Lamb;Hauteur;Epaisseur;TFI;LWAl
766916.37;6284758.78;0.19;0.18;0.28;2480
766915.85;6284761.28;0.16;0.22;0.47;2720
766915.32;6284764;0.19;0.24;0.37;2480
766914.46;6284767.87;0.19;0.27;0.19;1680
766914.09;6284769.8;0.25;0.2;0.13;2400
766913.4;6284772.83;0.34;0.21;0.42;9120
766912.84;6284775.85;0.29;0.2;0.38;8720
766912.17;6284778.84;0.23;0.23;0.08;2960
766911.73;6284781.22;0.23;0.22;0.33;2960
766911.11;6284784.02;0.21;0.18;0.32;3120
766910.51;6284787.01;0.15;0.18;0.49;2400
766909.91;6284789.75;0.26;0.18;0.46;8480
766909.3;6284792.81;0.18;0.2;0.27;3360
766908.86;6284795.38;0.2;0.16;0.46;8000
766908.23;6284798.33;0.16;0.2;0.15;3520
766907.45;6284801.29;0.23;0.19;0.42;8240
766906.82;6284804.25;0.24;0.2;0.35;8320
766906.18;6284807.24;0.16;0.18;0.3;2720
766905.54;6284810.26;0.3;0.17;0.42;8800
766905.03;6284812.79;0.15;0.17;0.09;2800
766904.32;6284816.07;0.22;0.21;0.45;8960
766903.71;6284819.15;0.25;0.17;0.48;8400
766903.15;6284821.93;0.14;0.17;0.33;6080
766902.69;6284824.51;0.16;0.21;0.43;7680
766896.33;6284765.89;0.39;0.21;0.73;3120
766896.1;6284768.08;0.3;0.28;0.71;2400
766895.66;6284771.03;0.27;0.22;0.65;2160
766895.2;6284773.68;0.51;0.22;0.65;4080
766894.63;6284776.63;0.34;0.2;0.7;2720
766894.02;6284779.54;0.42;0.17;0.67;3360
766893.51;6284782.12;0.37;0.14;0.7;2960
766892.89;6284785.08;0.32;0.17;0.8;2560
766892.25;6284787.87;0.22;0.18;0.82;1760
766891.74;6284790.48;0.29;0.19;0.77;2320
766891.09;6284793.85;0.35;0.17;0.69;2800
766890.56;6284796.54;0.46;0.17;0.71;3680
766889.91;6284799.44;0.34;0.18;0.74;2720
766889.27;6284802.38;0.43;0.17;0.67;3440
766888.62;6284805.35;0.31;0.16;0.7;2480
766888.04;6284808.04;0.36;0.16;0.72;2880
766887.46;6284811.04;0.44;0.19;0.71;3520
766886.83;6284814.08;0.33;0.22;0.73;2640
766886.2;6284816.9;0.42;0.16;0.76;3360
766885.69;6284819.56;0.35;0.19;0.72;2800
766885.93;6284822.13;0.48;0.43;0.79;3840
766890.21;6284822.25;0.41;0.22;0.74;3280
766891.02;6284818.98;0.35;0.18;0.48;2800
766891.5;6284816.86;0.37;0.19;0.75;2960
766892.08;6284813.86;0.37;0.19;0.69;2960
766892.7;6284811.01;0.3;0.18;0.74;2400
766893.36;6284807.87;0.43;0.2;0.69;3440
766893.95;6284804.84;0.23;0.21;0.73;1840
766894.53;6284802.12;0.39;0.19;0.72;3120
766895.16;6284798.95;0.36;0.17;0.72;2880
766895.88;6284795.89;0.32;0.19;0.74;2560
766896.52;6284792.76;0.39;0.14;0.73;3120
766897.09;6284789.89;0.29;0.21;0.77;2320
766897.71;6284787.14;0.34;0.19;0.75;2720
766898.35;6284783.94;0.41;0.16;0.76;3280
766898.95;6284781.27;0.33;0.2;0.76;2640
766899.63;6284778.21;0.41;0.2;0.72;3280
766900.25;6284775.21;0.29;0.2;0.71;2320
766900.79;6284772.38;0.25;0.24;0.71;2000
766901.37;6284769.39;0.44;0.24;0.69;3520
766902.02;6284766.43;0.22;0.27;0.69;1760
766902.58;6284764.01;0.23;0.23;0.76;1840
766903.2;6284761.16;0.25;0.23;0.67;2000
766903.8;6284758.04;0.24;0.25;0.66;1920
766904.56;6284754.53;0.22;0.25;0.67;1760
766905.06;6284752.07;0.19;0.28;0.79;1520
766905.69;6284749.1;0.2;0.25;0.84;1600
766906.1;6284747.07;0.18;0.23;0.72;1440
766906.93;6284742.88;0.21;0.24;0.67;1680
766907.42;6284740.7;0.43;0.21;0.62;3440
766908.1;6284737.91;0.36;0.15;0.61;2880
766911.8;6284736.03;0.58;0.22;0.55;4640
766913.17;6284737.94;0.22;0.23;0.64;1760
766912.58;6284740.82;0.28;0.26;0.63;2240
766911.93;6284743.87;0.22;0.25;0.7;1760
766911.24;6284747.03;0.27;0.23;0.63;2160
766910.77;6284749.28;0.21;0.29;0.67;1680
766910.06;6284752.75;0.2;0.21;0.73;1600
766909.43;6284755.64;0.24;0.25;0.71;1920
766908.79;6284758.52;0.21;0.26;0.78;1680
766908.22;6284761.33;0.31;0.23;0.72;2480
766907.52;6284764.33;0.3;0.23;0.69;2400
766906.91;6284767.19;0.17;0.26;0.53;1360
766906.32;6284770.09;0.4;0.29;0.48;3200
766905.67;6284773.23;0.25;0.3;0.77;2000
766905.2;6284775.77;0.37;0.25;0.82;2960
766904.55;6284778.79;0.4;0.19;0.75;3200
766904.01;6284781.36;0.3;0.24;0.83;2400
766903.42;6284784.41;0.22;0.19;0.87;1760
766902.88;6284786.98;0.15;0.28;0.56;1200
766902.19;6284790.23;0.2;0.18;0.81;1600
766901.59;6284793.25;0.22;0.21;0.85;1760
766901.09;6284795.65;0.34;0.28;0.84;2720
766900.32;6284798.83;0.32;0.28;0.82;2560
766899.76;6284801.74;0.14;0.48;0.62;1120
766898.9;6284805.48;0.31;0.24;0.75;2480
766898.33;6284807.99;0.33;0.18;0.71;2640
766897.76;6284810.62;0.24;0.31;0.7;1920
766897.24;6284813.44;0.3;0.22;0.75;2400
766896.6;6284816.27;0.29;0.19;0.79;2320
766895.94;6284819.3;0.3;0.18;0.76;2400
766895.4;6284821.72;0.26;0.18;0.7;2080
766897.38;6284825.24;0.32;0.21;0.69;2560
766900.35;6284823.69;0.32;0.19;0.73;2560
766900.96;6284820.7;0.18;0.16;0.69;1440
766901.55;6284817.84;0.31;0.14;0.66;2480
766902.18;6284815.05;0.25;0.17;0.65;2000
766902.87;6284812.12;0.21;0.16;0.57;1680
766903.49;6284809.28;0.25;0.14;0.69;2000
766904.16;6284806.32;0.23;0.14;0.67;1840
766904.82;6284803.34;0.25;0.15;0.81;2000
766905.48;6284799.95;0.28;0.14;0.9;2240
766906.03;6284797.24;0.2;0.15;0.88;1600
766906.62;6284794.18;0.3;0.21;0.77;2400
766907.16;6284791.41;0.26;0.2;0.63;2080
766907.81;6284788.34;0.15;0.23;0.6;1200
766908.35;6284785.49;0.27;0.19;0.69;2160
766908.91;6284782.51;0.23;0.22;0.68;1840
766909.56;6284779.48;0.29;0.2;0.69;2320
766910.11;6284776.53;0.34;0.21;0.68;2720
766910.75;6284773.85;0.21;0.24;0.76;1680
766911.37;6284771.03;0.27;0.19;0.71;2160
766912.12;6284767.31;0.02;0.18;0.38;160
766912.67;6284764.74;0.28;0.22;0.7;2240
766913.44;6284761.05;0.68;0.05;0.47;5440
766914.01;6284758.28;0.11;0.23;0.69;880
766914.5;6284755.94;0.25;0.26;0.84;2000
766915.08;6284753.24;0.08;0.32;0.34;640
766915.73;6284750.51;0.27;0.21;0.76;2160
766916.54;6284746.77;0.31;0.39;0.76;2480
766917.04;6284744.13;0.23;0.29;0.73;1840
766917.66;6284741.07;0.22;0.27;0.85;1760
766918.22;6284738.34;0.23;0.24;0.79;1840
766918.84;6284735.29;0.26;0.18;0.8;2080
766919.48;6284732.84;0.31;0.16;0.99;2480
766924.02;6284733.86;0.27;0.13;0.76;2160
766923.59;6284735.96;0.25;0.14;0.69;2000
766923;6284739.14;0.24;0.25;0.68;1920
766922.4;6284742.4;0.2;0.25;0.93;1600
766921.97;6284744.88;0.18;0.41;0.84;1440
766921.28;6284747.94;0.22;0.18;0.82;1760
766920.54;6284751.2;0.24;0.19;0.89;1920
766919.99;6284753.79;0.18;0.25;0.71;1440
766919.35;6284756.67;0.21;0.22;0.77;1680
766918.81;6284759.34;0.1;0.34;0.49;800
766918.15;6284762.7;0.22;0.21;0.78;1760
