X-Lamb;Y-Lamb;Hauteur (m);Epaisseur (m);Densite (%);Leaf wall area (m².ha-1);Pourcentage de la dose homologuée à appliquer
766906.27;6284783.23;0.13;0.24;24;2960;43.5
766906.92;6284779.85;0.16;0.18;21;3520;42.7
766907.48;6284776.92;0.3;0.22;20;3200;45.2
766908.04;6284774.46;0.11;0.2;44;2320;49.8
766908.79;6284771.17;0.25;0.23;31;8400;48.1
766909.21;6284768.91;0.22;0.25;7;1440;39.8
766909.86;6284766.03;0.15;0.26;43;2400;50.7
766910.39;6284763.4;0.16;0.23;8;1600;39
766911.11;6284759.92;0.15;0.22;12;1200;40
766911.75;6284756.91;0.27;0.21;24;8560;45.9
766912.4;6284753.78;0.29;0.27;17;880;44.3
766913.1;6284750.79;0.24;0.22;28;8320;46.8
766913.78;6284748.01;0.14;0.15;14;2080;40
766914.38;6284744.86;0.22;0.22;27;3040;46
766914.99;6284741.65;0.29;0.17;21;8720;45
766915.63;6284738.42;0.12;0.17;10;4640;38.6
766916.05;6284736.47;0.12;0.21;16;5440;40.6
766916.9;6284732.88;0.13;0.2;21;7440;42.3
766920.48;6284732.36;0.2;0.2;4;8000;38.3
766921.25;6284734.91;0.17;0.23;23;7760;43.8
766920.64;6284738.04;0.33;0.26;5;9040;42.3
766920.28;6284740.08;0.12;0.19;0;5440;35.9
766919.77;6284743.02;0.18;0.11;9;3360;39
766919.15;6284746.16;0.18;0.23;19;3360;42.7
766918.26;6284749.94;0.16;0.21;13;2720;40.4
766917.7;6284752.56;0.11;0.28;12;2320;39.7
766917.02;6284755.63;0.21;0.25;41;2320;51.1
766916.37;6284758.78;0.19;0.18;18;2480;42.3
766915.85;6284761.28;0.16;0.22;37;2720;48.4
766915.32;6284764;0.19;0.24;27;2480;45.6
766914.46;6284767.87;0.19;0.27;9;1680;40
766914.09;6284769.8;0.25;0.2;3;2400;39.1
766913.4;6284772.83;0.34;0.21;32;9120;50.2
766912.84;6284775.85;0.29;0.2;28;8720;47.6
766912.17;6284778.84;0.23;0.23;-2;2960;37.7
766911.73;6284781.22;0.23;0.22;23;2960;44.9
766911.11;6284784.02;0.21;0.18;22;3120;43.9
766910.51;6284787.01;0.15;0.18;39;2400;48.6
766909.91;6284789.75;0.26;0.18;36;8480;49.8
766909.3;6284792.81;0.18;0.2;17;3360;41.9
766908.86;6284795.38;0.2;0.16;36;8000;48.4
766908.23;6284798.33;0.16;0.2;5;3520;38
766907.45;6284801.29;0.23;0.19;32;8240;47.8
766906.82;6284804.25;0.24;0.2;25;8320;45.6
766906.18;6284807.24;0.16;0.18;20;2720;42.4
766905.54;6284810.26;0.3;0.17;32;8800;49
766905.03;6284812.79;0.15;0.17;-1;2800;36
766904.32;6284816.07;0.22;0.21;35;8960;48.8
766903.71;6284819.15;0.25;0.17;38;8400;50.2
766903.15;6284821.93;0.14;0.17;23;6080;42.9
766902.69;6284824.51;0.16;0.21;33;7680;46.9
766896.33;6284765.89;0.39;0.21;63;3120;76.4
766896.1;6284768.08;0.3;0.28;61;2400;69.6
766895.66;6284771.03;0.27;0.22;55;2160;60.6
766895.2;6284773.68;0.51;0.22;55;4080;73.1
766894.63;6284776.63;0.34;0.2;60;2720;69.6
766894.02;6284779.54;0.42;0.17;57;3360;70
766893.51;6284782.12;0.37;0.14;60;2960;70.5
766892.89;6284785.08;0.32;0.17;70;2560;81.1
766892.25;6284787.87;0.22;0.18;72;1760;77.8
766891.74;6284790.48;0.29;0.19;67;2320;75.4
766891.09;6284793.85;0.35;0.17;59;2800;68.6
766890.56;6284796.54;0.46;0.17;61;3680;77.5
766889.91;6284799.44;0.34;0.18;64;2720;74.4
766889.27;6284802.38;0.43;0.17;57;3440;70.5
766888.62;6284805.35;0.31;0.16;60;2480;67.5
766888.04;6284808.04;0.36;0.16;62;2880;72.8
766887.46;6284811.04;0.44;0.19;61;3520;76.5
766886.83;6284814.08;0.33;0.22;63;2640;73.1
