X-Lamb;Y-Lamb;Hauteur (m);Epaisseur (m);Densite (%);Leaf wall area (m².ha-1);Pourcentage de la dose homologuée à appliquer;Pourcentage du taux de recuperation
766297.97;6284608.84;0.76;0.39;54;6080;68.6;30.4
766297.95;6284612.32;0.85;0.62;45;6800;66.2;37.6
766297.93;6284614.66;0.82;0.97;45;6560;73.4;37.6
766297.75;6284617.05;0.78;0.34;60;6240;76;25.6
766297.7;6284620.25;0.74;0.95;56;5920;85.2;28.8
766297.55;6284623.09;0.76;1.07;57;6080;91.3;28
766297.53;6284626.45;0.88;1.01;21;7040;52.3;56.8
766297.51;6284628;0.74;1.11;49;5920;79.3;34.4
766297.43;6284632.52;0.79;0.84;48;6320;72.9;35.2
766297.42;6284634.19;0.7;0.34;56;5600;67.6;28.8
766297.33;6284637.17;0.83;1.04;57;6640;93.9;28
766324.23;6284652.23;0.24;0.53;16;1920;27.3;60.8
766324.29;6284650.16;0.9;0.56;44;7200;65.5;38.4
766324.46;6284647.47;0.87;0.39;60;6960;81.2;25.6
766324.55;6284644.53;0.78;0.46;60;6240;79.1;25.6
766324.6;6284641.25;0.81;0.43;50;6480;66.5;33.6
766324.65;6284638.73;0.78;0.41;48;6240;62.6;35.2
766324.72;6284635.04;0.87;0.27;31;6960;46.1;48.8
766324.84;6284632.87;0.74;0.31;54;5920;66;30.4
766324.92;6284630.02;0.74;0.36;58;5920;72.2;27.2
766324.98;6284627.15;0.74;0.35;49;5920;61.1;34.4
766325.02;6284624;0.71;0.37;60;5680;73.9;25.6
766325.06;6284621.23;0.74;0.38;51;5920;64;32.8
766325.21;6284618.12;0.73;0.39;61;5840;76.5;24.8
766325.28;6284616.4;0.72;0.52;55;5760;71.4;29.6
766325.26;6284612.72;0.76;0.32;54;6080;66.9;30.4
766325.38;6284609.82;0.7;0.26;50;5600;59.1;33.6
766325.46;6284606.78;0.66;0.28;59;5280;68.5;26.4
766325.52;6284604.06;0.76;0.36;53;6080;66.7;31.2
766325.57;6284601.09;0.78;0.31;59;6240;73.8;26.4
766325.6;6284598.35;0.73;0.26;54;5840;64.5;30.4
766325.61;6284595.85;0.7;0.3;54;5600;64.3;30.4
766325.7;6284592.27;0.78;0.31;52;6240;65.1;32
766325.82;6284589.51;0.72;0.38;57;5760;70.6;28
766325.95;6284586.48;0.69;0.37;58;5520;70.5;27.2
