X-Lamb;Y-Lamb;Hauteur (m);Epaisseur (m);Densite (%);Leaf wall area (m².ha-1);Pourcentage de la dose homologuée à appliquer;Pourcentage du taux de recuperation
766908.53;6284770.3;0.6;0.3;63;4800;52.7;31.8
766909.08;6284767.21;0.61;0.35;60;4880;51.1;34.2
766909.7;6284764.56;0.66;0.35;64;5280;56.5;31
766910.35;6284761.56;0.58;0.3;58;4640;47.7;35.8
766911;6284758.49;0.57;0.27;57;4560;46.1;36.6
766911.59;6284755.61;0.65;0.34;53;5200;45.9;39.8
766912.2;6284752.66;0.66;0.57;57;5280;53.6;36.6
766912.87;6284749.74;0.68;0.42;55;5440;49.7;38.2
766913.56;6284746.96;0.72;0.29;63;5760;56.1;31.8
766914.19;6284743.86;0.67;0.35;64;5360;56.8;31
766914.76;6284741.08;0.71;0.26;66;5680;58.3;29.4
766915.44;6284737.81;0.75;0.3;54;6000;48.6;39
766916.15;6284735.74;0.72;0.48;60;5760;56.7;34.2
766921.08;6284734.73;0.61;0.4;63;4880;54.9;31.8
766920.44;6284737.62;0.7;0.32;51;5600;45.2;41.4
766919.98;6284739.84;0.6;0.25;52;4800;42.5;40.6
766919.36;6284742.82;0.75;0.05;28;6000;27.9;59.8
766918.69;6284746.02;0.69;0.28;62;5520;54;32.6
766917.9;6284749.48;0.76;0.36;54;6080;49.9;39
766917.34;6284751.98;0.71;0.35;58;5680;52;35.8
766916.77;6284754.71;0.63;0.44;62;5040;55.2;32.6
766916.17;6284757.56;0.71;0.32;57;5680;50.6;36.6
766915.55;6284760.54;0.65;0.3;61;5200;52.3;33.4
766915.02;6284763.34;0.69;0.33;55;5520;48.4;38.2
766914.4;6284766.42;0.87;0.26;34;6960;35.7;55
766913.88;6284768.84;0.7;0.41;55;5600;50;38.2
766913.29;6284771.71;0.69;0.28;57;5520;49.4;36.6
766912.74;6284774.34;0.72;0.31;52;5760;46.3;40.6
766912.05;6284777.69;0.62;0.48;69;4960;63.2;27
766911.58;6284780.36;0.67;0.42;62;5360;56.1;32.6
766910.95;6284783.26;0.61;0.38;66;4880;57.5;29.4
766910.28;6284786.05;0.61;0.3;67;4880;57;28.6
766909.69;6284788.94;0.57;0.37;66;4560;56.1;29.4
766909.21;6284791.65;0.58;0.31;65;4640;54.3;30.2
766908.64;6284794.6;0.56;0.25;63;4480;50.7;31.8
766907.99;6284797.6;0.6;0.42;61;4800;53;33.4
766907.48;6284800.06;0.57;0.31;72;4560;61.3;24.6
766906.8;6284802.89;0.58;0.42;61;4640;52.4;33.4
766906.15;6284805.76;0.59;0.36;66;4720;56.5;29.4
766905.58;6284808.57;0.63;0.35;56;5040;48.1;37.4
766904.97;6284811.5;0.64;0.31;56;5120;47.7;37.4
766904.34;6284814.28;0.66;0.29;55;5280;47;38.2
766903.74;6284817.13;0.67;0.25;53;5360;45;39.8
766903.13;6284819.99;0.61;0.26;66;4880;55.2;29.4
766902.45;6284822.93;0.55;0.34;58;4400;47.5;35.8
766894.91;6284773.04;0.65;0.56;67;5200;63.7;28.6
766894.37;6284775.93;0.6;0.39;61;4800;52.4;33.4
766893.76;6284778.74;0.64;0.29;55;5120;46.5;38.2
766893.24;6284781.54;0.64;0.29;60;5120;50.9;34.2
766892.7;6284784.41;0.61;0.3;59;4880;49.3;35
766892.04;6284787.27;0.59;0.27;63;4720;51.9;31.8
766891.47;6284790.01;0.59;0.3;59;4720;48.8;35
766890.7;6284793.32;0.71;0.3;48;5680;42.7;43.8
766890.12;6284796.15;0.72;0.28;54;5760;47.5;39
766889.51;6284799.1;0.54;0.36;48;4320;39.7;43.8
766888.89;6284801.83;0.7;0.24;52;5600;44.7;40.6
