X-Lamb;Y-Lamb;Hauteur (m);Epaisseur (m);Densite (%);Leaf wall area (m².ha-1);Pourcentage de la dose homologuée à appliquer
766316.76;6284640.83;0.11;0.21;40;880;75.6
766316.63;6284643.84;0.08;0.37;54;640;96.8
766311.76;6284640.84;0.33;0.2;9;2640;47.7
766311.77;6284637.32;0.09;0.18;18;720;52.7
766311.85;6284635.51;0.17;0.12;32;1360;67.9
766312;6284632.38;0.15;0.35;20;1200;56.5
766311.98;6284630.59;0.12;0.07;18;960;52.5
766311.99;6284626.78;0.16;0.14;32;1280;67.6
766312.1;6284623.72;0.11;0.1;27;880;59.2
766312.2;6284620.57;0.16;0.12;24;1280;58.6
766312.29;6284618.15;0.17;0.12;32;1360;67.9
766312.34;6284615.15;0.17;0.15;24;1360;59.4
766312.42;6284611.69;0.21;0.16;29;1680;66.9
766312.53;6284608.72;0.13;0.14;9;1040;49.8
766312.59;6284605.8;0.19;0.1;18;1520;54.3
766312.61;6284603.46;0.13;0.25;2;1040;46.6
766312.63;6284600.11;0.15;0.16;13;1200;51.9
766312.71;6284597.33;0.17;0.11;26;1360;61.1
766312.82;6284594.2;0.14;0.1;34;1120;68.4
766312.88;6284591.39;0.14;0.07;40;1120;75.5
766313.07;6284588.55;0.11;0.12;52;880;91.7
766313.16;6284585.49;0.17;0.12;45;1360;85.1
766313.3;6284581.65;0.12;0.16;54;960;96.3
766313.26;6284579.52;0.13;0.11;50;1040;89.8
766313.29;6284576.26;0.16;0.14;53;1280;97.4
766313.4;6284573.11;0.16;0.08;51;1280;93.1
766313.49;6284569.81;0.14;0.07;38;1120;73
766313.61;6284566.92;0.16;0.09;46;1280;85.5
766313.62;6284564.39;0.09;0.06;50;720;86.3
766313.74;6284561.65;0.14;0.07;38;1120;73
766313.8;6284558.64;0.13;0.1;50;1040;89.6
766313.94;6284556.11;0.2;0.14;40;1600;80.1
766313.99;6284552.47;0.14;0.12;51;1120;92.2
766314;6284550.23;0.14;0.15;36;1120;71.4
766314.14;6284546.65;0.13;0.1;37;1040;71.5
766314.23;6284543.8;0.11;0.09;46;880;82.2
766314.36;6284540.92;0.11;0.13;37;880;70.8
766314.41;6284536.45;0.36;0.02;25;2880;68.6
766314.52;6284534.49;0.19;0.15;27;1520;63.6
766314.5;6284532.04;0.12;0.15;39;960;74.1
766309.53;6284532.03;0.14;0.13;27;1120;60.9
766309.44;6284533.51;0.13;0.18;26;1040;59.9
766309.34;6284537.29;0.11;0.17;48;880;86.3
766309.27;6284539.65;0.1;0.09;54;800;93.7
766309.25;6284541.73;0.38;0.38;10;3040;57.6
766309.18;6284545.53;0.11;0.1;43;880;78.1
766309.11;6284548.24;0.19;0.07;46;1520;87.2
766309.03;6284551.79;0.15;0.13;28;1200;62.5
766308.95;6284554.17;0.12;0.11;37;960;71.1
766308.84;6284557.34;0.2;0.1;37;1600;75.5
766308.82;6284560.11;0.11;0.12;31;880;63.7
766308.75;6284562.84;0.13;0.17;49;1040;89.2
766308.65;6284565.58;0.12;0.13;44;960;80.6
766308.54;6284569.07;0.09;0.08;51;720;88.1
766308.48;6284571.97;0.16;0.12;47;1280;87.4
766308.43;6284574.5;0.14;0.08;29;1120;62.6
766308.36;6284576.9;0.15;0.09;29;1200;63.1
766308.32;6284581.07;0.15;0.11;26;1200;60.2
766308.22;6284583.01;0.1;0.07;16;800;51.3
766308.12;6284586.81;0.1;0.15;37;800;70.4
766308;6284589.57;0.08;0.15;27;640;58.3
766307.93;6284592.34;0.1;0.16;42;800;77
766307.88;6284595.86;0.09;0.11;52;720;90.1
766307.79;6284598.35;0.18;0.1;45;1440;85.5
766307.72;6284600.96;0.11;0.12;42;880;77.1
766307.6;6284604.53;0.11;0.09;49;880;86.5
766307.5;6284607.08;0.13;0.09;42;1040;77.9
766307.4;6284609.85;0.12;0.08;34;960;67.2
766307.33;6284612.76;0.2;0.08;44;1600;85.1
766307.28;6284615.55;0.12;0.1;52;960;92
766307.26;6284618.36;0.11;0.09;48;880;85.1
766307.16;6284621.46;0.13;0.09;45;1040;82
766307.09;6284624.01;0.12;0.12;44;960;80.4
766307.08;6284627.68;0.1;0.1;50;800;87.5
766307.03;6284630.07;0.1;0.12;43;800;77.8
766306.88;6284633.37;0.12;0.1;38;960;72.2
766306.89;6284636.6;0.08;0.11;43;640;76.5
766306.79;6284638.12;0.06;0.12;33;480;63.4
766304.34;6284640.34;0.21;0.14;47;1680;91.3
766301.84;6284637.06;0.12;0.1;41;960;76.1
766301.92;6284633.77;0.11;0.13;33;880;66.1
766302.03;6284631.39;0.14;0.15;34;1120;69
766302.06;6284628.57;0.12;0.08;17;960;52.2
766302.12;6284625.06;0.14;0.08;34;1120;68.2
766302.23;6284622.48;0.14;0.15;13;1120;51.6
766302.25;6284619.95;0.14;0.12;36;1120;71.1
766302.33;6284616.78;0.1;0.11;18;800;52.4
766302.46;6284613.33;0.12;0.08;17;960;52.2
766302.53;6284610.49;0.17;0.12;9;1360;50.5
766302.56;6284607.69;0.13;0.07;24;1040;56.8
766302.67;6284604.18;0.13;0.08;21;1040;54
766302.7;6284601.98;0.12;0.07;30;960;62.6
766302.74;6284598.92;0.15;0.14;31;1200;65.9
766302.84;6284596.04;0.14;0.09;21;1120;54.5
766302.91;6284592.87;0.11;0.14;34;880;67.4
766303.01;6284590.19;0.14;0.14;35;1120;70.1
766303.06;6284587.09;0.12;0.11;28;960;60.8
766303.12;6284584.27;0.15;0.1;16;1200;52.6
766303.17;6284581.53;0.17;0.12;34;1360;70.3
766303.2;6284578.25;0.15;0.09;37;1200;72.6
766303.36;6284575.14;0.17;0.09;25;1360;59.8
