X-Lamb;Y-Lamb;Hauteur (m);Epaisseur (m);Densite (%);Leaf wall area (m².ha-1);Pourcentage de la dose homologuée à appliquer
766687.92;6284816.65;1.08;0.41;73;8640;77.9
766684.58;6284818.39;1.24;0.28;63;9920;68.3
766682.8;6284819.36;1.21;0.26;73;9680;79.4
766680.4;6284820.55;1.2;0.25;73;9600;78.7
766677.4;6284822.06;1.09;0.46;62;8720;65.3
766674.97;6284823.43;1.14;0.31;75;9120;80.7
766672.52;6284824.81;1.19;0.37;67;9520;73.2
766670.06;6284826.02;1.1;0.56;74;8800;84.4
766667.4;6284827.44;1.19;0.51;67;9520;76.8
766665.15;6284828.67;1.11;0.6;73;8880;84.5
766661.82;6284830.43;1.07;0.24;74;8560;74.4
766659.91;6284831.45;0.85;0.28;73;6800;65.7
766657.37;6284832.63;1.01;0.39;71;8080;71.8
766654.62;6284833.99;1.05;0.47;66;8400;68.9
766652.24;6284833.95;1.57;0.53;74;12560;120.2
766651.31;6284830.4;0.95;0.38;57;7600;53.8
766653.97;6284828.95;1.16;0.3;66;9280;69.1
766656.97;6284827.26;1.33;0.28;69;10640;81.1
766659.37;6284826.01;1.16;0.39;71;9280;77.9
766662.06;6284824.46;1.19;0.32;70;9520;76
766664.42;6284823.25;1.56;0.41;76;12480;117.7
766667.66;6284821.6;1.1;0.35;61;8800;62.1
766669.68;6284820.52;1.14;0.31;73;9120;77.8
766672.36;6284819.21;1.27;0.39;71;10160;82.8
766674.92;6284817.89;1.34;0.36;80;10720;100.2
766677.67;6284816.48;1.11;0.34;71;8880;74.6
766680.18;6284815.13;1.28;0.33;73;10240;84.5
766682.82;6284813.75;1.16;0.39;75;9280;83.8
766684.96;6284812.64;1.38;0.32;72;11040;89.9
766688.47;6284810.75;1.04;0.21;59;8320;55.3
766690.27;6284809.8;1.11;0.48;62;8880;66.5
766692.5;6284808.67;1.4;0.41;79;11200;103.4
766695.07;6284807.29;1.51;0.3;79;12080;112.4
766697.7;6284805.9;1.45;0.31;76;11600;101.7
766700.61;6284804.36;1.37;0.39;71;10960;89.8
766702.52;6284803.45;1.14;0.31;79;9120;86.7
766705.32;6284801.93;0.95;0.28;63;7600;57.9
766707.53;6284800.8;1.23;0.35;79;9840;92.3
766709.79;6284799.52;1.24;0.27;71;9920;78.2
766712.09;6284798.23;1.18;0.36;68;9440;73.9
766714.4;6284796.89;1.03;0.28;68;8240;66.2
766716.82;6284795.67;1.16;0.3;73;9280;78.4
766719.71;6284794.24;1.2;0.38;70;9600;78
766722.35;6284792.91;1.36;0.29;76;10880;92
766724.6;6284791.7;1.07;0.5;72;8560;78.5
